# 逐字稿 2025-06-30
# 來源音檔：錄製.m4a

[00:00] 然後他有哪一塊
[08:49] 已經在那個公開的eSale裡面了
[08:54] 就是他那個每天都有人會傳信來
[08:57] 看要不要直接填在資料庫裡面
[09:01] 因為他現在是後端
[09:04] 後端讀到那個資料
[09:06] 那個資料庫在哪裡
[09:12] 我發現
[09:14] Feed在Share裡面
[09:17] Share裡面叫什麼
[09:18] Share到
[09:20] 我看一下
[09:21] 我
[09:22] 我
[09:23] 我
[09:24] 我
[09:25] 我
[09:26] 我
[09:27] 我
[09:29] 我
[09:30] 我
[09:31] 我
[09:32] 我
[09:33] 我
[09:34] 我
[09:35] 我
[09:36] 我
[09:37] 賴受眾進來
[09:39] 賴受眾進來
[09:42] 權威客戶Line名單
[09:50] 但要填的不是這個
[09:51] 這個他會自動做
[09:52] 我說的是另外的
[09:53] 他還填哪一個
[09:55] 我看一下
[10:10] 我賴的受眾進來
[10:12] 就剛才那個賴
[10:13] 那個目前是空的
[10:15] 因為我想說你那個eSale有填完嗎
[10:17] 我再一次把他是誰匯到這裡面
[10:20] 好啦
[10:21] 動態的
[10:22] 因為他一匯進去有沒有
[10:24] 他的
[10:25] 他後端
[10:27] 我那邊有做一個後端
[10:28] 他會去讀取這個賴受眾清單
[10:30] 他會將這個資料有沒有
[10:32] 會依照上面的受眾的名稱
[10:34] 去幫我們建立一個受眾
[10:36] 如果裡面有這個人的話
[10:39] 知道了
[10:39] 就是我把它填完就對了
[10:41] 好
[10:42] 就是因為填完之後
[10:43] 我就會把它丟進這個資料庫
[10:45] 賴受眾清單
[10:47] 對
[10:47] 他那個後端有沒有
[10:48] 他就會自動開始清單
[10:52] 好
[10:52] 好
[10:53] 好
[10:54] 好
[10:55] 好
[10:56] 好
[10:56] 好
[10:57] 好
[10:58] 好
[10:59] 好
[11:00] 好
[11:01] 好吧
[11:02] 好
[11:03] 好
[11:03] 好
[11:04] 好
[11:05] 好
[11:06] 可能會快一些這樣不行
[11:08] 我會再想過一點
[11:09] 因為
[11:10] 我感覺payment這個東西有沒有
[11:13] 因為等於說我們是重做
[11:15] 他可能會需要一季的時間
[11:18] 你一季都算快
[11:20] 但是功能已經被砍得七七八八了
[11:22] 對
[11:23] 不是
[11:24] 我是指收入過製作這幾個
[11:26] 可能需要一季
[11:28] OK啦 OK啦
[11:29] 一季我覺得OK啦
[11:31] 下載安裝這些
[11:32] 等於說我們就重加一個網站
[11:36] 好 沒關係
[11:38] 那這一季的目標
[11:39] 我們那天有討論了
[11:40] 好像只有一季帳戶系統
[11:44] 外季帳戶系統這一季要弄完
[11:47] 外季帳戶系統有什麼想法
[11:50] 畫面想法或者是要問的嗎
[11:54] 先把這邊那個老闆他預計
[11:58] 要有哪個支援哪些系統
[12:00] 要先列出來
[12:03] 就是什麼信用卡
[12:05] 所以你那個就是你先查一下綠界
[12:08] 綠界可以給那些戶管方式全吃
[12:10] 好
[12:10] 他已經幫你全部都架接好了
[12:12] 你也不用花錢
[12:13] 所以就是我們就對接綠界
[12:15] 然後他有什麼我們就用什麼
[12:16] 綠界在外面有沒有給過我
[12:20] 沒有啊
[12:21] 有給過我
[12:22] 但是我手機的重置LINE
[12:24] 之前的紀錄已經消失了
[12:25] 沒關係 我請會計再整理一份
[12:28] 那那個綠界後
[12:29] 它綠界其實有一個開發環境
[12:33] 它那個開發環境是有估計找的吧
[12:36] 它有個開發環境
[12:37] 但是它的開發環境好像會綁那個IP
[12:41] 不是 它的開發環境是共用的
[12:45] 對啊
[12:45] 你就不要給他們一些敏感資訊
[12:48] 就是其他公司用的那個測試
[12:51] 只知道是共用
[12:52] 所以裡面會有一些其他公司
[12:54] 他們自己建的
[12:55] 是喔
[12:56] 比較神奇
[12:57] 比較特殊
[12:58] 沒關係啦
[12:58] 它有開發環境
[12:59] 但是我上次用開發環境
[13:00] 其實我覺得我們的電子發票
[13:02] 也需要一個開發環境
[13:05] 其實我之前在寫的時候
[13:06] 開發環境我現在要寫進去
[13:07] 但是現在開發環境是弄不出來的
[13:10] 沒有 它已經改
[13:11] 它那個綠界已經改過版了
[13:14] 我們現在的那個結帳系統有沒有
[13:17] 它有那個
[13:18] 我記得是
[13:20] 它現在給的那個範例檔有沒有
[13:22] 已經不存在了
[13:23] 他們現在全部都走網路端
[13:28] 有一個小地方我想改
[13:29] 就是現在的發票系統有沒有
[13:32] 我們電子帳戶系統
[13:34] 我們預估這一季
[13:36] 這一季我們是
[13:39] 第一個是把前一季沒有完成的把它完成
[13:43] 好像你們是講7月15號
[13:44] 7月第二個禮拜
[13:45] 我們可以把這兩個放滿
[13:47] 那會計帳戶系統的話
[13:48] 就是整個7、8、9月
[13:53] 對嘛
[13:55] 就一季嘛
[13:55] 就7、8、9
[13:56] 一季一季就完
[13:58] 第三季把它做完
[14:00] 那你可能中間有什麼畫面
[14:02] 你可能有一些要討論的
[14:05] 那你提早跟我們講一下
[14:06] 你大概做的時候
[14:07] 有什麼問題
[14:08] 盡快的問
[14:11] 就還有什麼
[14:13] 我剛才想到那個就是
[14:15] 我們在開那個電子發票的時候
[14:18] 我們不是有發票抬頭
[14:21] 發票那個抬頭的部分
[14:23] 是不是可以在分店資料書那邊
[14:24] 可以直接讓他上傳那個圖片
[14:27] 什麼意思
[14:29] 就是說放在最上面那個
[14:32] 是可以嗎
[14:33] 因為我以前不會找不到他的界面
[14:34] 好像是各家
[14:36] 那時候裝的時候是自己
[14:38] 那時候做的時候是把圖
[14:41] 好像是1200乘以900
[14:44] 我怎麼少忘記
[14:44] 就是一個圖
[14:46] 然後放在自己的Pose裡面
[14:48] 多少
[14:49] 但是這樣的情況下
[14:50] 你每一台你都要把那個圖copy過去
[14:54] 對嘛
[14:56] 其實那個圖的部分
[14:59] 其實同一間公司
[15:00] 它的圖應該都一樣
[15:01] 所以我覺得在分店那個地方
[15:03] 可以有一個上傳他們分店開發票囉
[15:07] 如果只有一個圖
[15:08] 那反正也限制大小
[15:10] 應該也不會太大
[15:12] 一個店一個圖
[15:13] 放在雜項設定裡面
[15:14] 不是放在分店裡面
[15:16] 其實資料不可以存圖
[15:18] 我在想要不要放在雜項設定裡面
[15:21] 不好
[15:21] 雜項設定是所有店共用一個圖
[15:25] 對
[15:26] 所有店
[15:28] 雜項設定的設定都是所有整體的
[15:31] 算是整體的設定會放在那個地方
[15:33] 就是for這一個客戶的全部分店
[15:36] 還是放在單機設定裡面
[15:39] 單機設定是for單台電腦
[15:41] 也不太適合
[15:41] 因為它一間店就一定是一個
[15:43] 它通常一間店不會開兩個
[15:45] 不會開兩種發票
[15:47] 通常是不會
[15:49] 所以因為
[15:50] 不然就在建一個畫面是那個
[15:53] 不是因為放在分店設定裡面
[15:55] 那邊有沒有
[15:58] 等於說你圖要存在資料庫
[16:01] 對
[16:02] 或者是有其他好方法
[16:05] 目前我們之前是有寫一個file server
[16:09] 你可以上傳資料
[16:10] 以前有寫過一個file server
[16:12] 不是因為我在想說圖
[16:14] 要不要就是請他們放在
[16:22] 現在放在本地的缺點
[16:23] 就是我要複製到那一間店舖
[16:26] 而且它不能上傳
[16:27] 也沒辦法檢查大小
[16:28] 沒辦法
[16:30] 因為它有一個size
[16:31] 不是我在想說
[16:32] 如果放在單機設定
[16:33] 或是展開出去設定裡面
[16:36] 放在單機的話
[16:37] 就是每一台電腦要獨立弄一個
[16:39] 那放在雜項的話就所有店共用
[16:41] 所以最好的方式是放在分店
[16:43] 因為每一間店可能不一樣
[16:45] 當然你講的也有可能都一樣
[16:48] 可是因為放在分店的話
[16:50] 等於說多一個圖片才會
[16:53] 對 那本來就有
[16:55] 我記得是有
[16:57] 你要放在上面我也不反對
[16:59] 因為我在想說放在那邊
[17:02] 他們要改那個方式不直觀
[17:04] 因為發票箱或設定區
[17:06] 不知打箱設定或單機設定
[17:09] 你就放在那裡面也可以
[17:12] 指定那個圖
[17:13] 然後放在那裡面也可以
[17:16] 我是希望是同一間店共用
[17:19] 不要圖扣來扣去
[17:21] 這樣就失去雲端的意思
[17:25] 那個圖放在雲端上面
[17:26] 放在主機上的資料櫃某個地方
[17:28] 或者放在社會的某個地方是OK的
[17:30] 但是我要處理的問題
[17:32] 我是不用這台Copy這台的Copy
[17:34] 我只要因為這個真的不好用
[17:36] 不會啦
[17:37] Copy來Copy去是很麻煩
[17:40] 但是也沒必要
[17:41] 不是 主要是他們有一些分店
[17:43] 本來不知道要怎麼弄
[17:45] 我會不會說我給這個態度
[17:47] 怎麼辦
[17:48] 等於說我還要再幫他們圓
[17:50] 大家要改他們圖片的位置
[17:53] 不用 就自己點了之後
[17:54] 一下子就好
[17:55] 你能教他怎麼樣
[17:56] 你塗
[17:57] 重點是你塗檢查
[17:58] 你可以說這個圖是有沒有
[18:00] 符合那個圖片的Size
[18:02] 你要符合那個圖片的Size
[18:04] 那再就是彩色的圖好像已經不太出來
[18:07] 因為那個
[18:07] 沒有 就只能規定黑白
[18:09] 因為發票白就只能選黑白
[18:11] 海月是彩色的
[18:12] 但是它出來還是黑白就灰階的
[18:15] 是可以的
[18:16] 對
[18:17] 反正就是要有一個發票白都塗了不論
[18:20] 而且我們上一季這樣做下來
[18:22] 我們幾乎好像
[18:24] 你好像舊的問題似乎都沒改過
[18:27] 這我們幾乎百分之百都開發新的東西
[18:30] 還是舊的
[18:31] 也有
[18:32] 也有就對了
[18:33] 只是沒有報告上來而已
[18:36] OK 懂意思
[18:36] 好 這樣沒有問題
[18:37] 我是說可以的話把一些
[18:39] 那下一季除了會計帳戶系統
[18:42] 我覺得只做一個系統應該會有很大的餘裕
[18:46] 是不是要再加一點東西
[18:48] 看情況
[18:49] 你不會是整個三季
[18:50] 你就只弄一個會計帳戶系統吧
[18:53] 就整個三個月
[18:54] 你只弄一個會計帳戶系統
[18:57] 不然看要不要
[18:58] 他們要不要把這個一起包進來
[19:00] 兩個一起做
[19:01] 我覺得兩個系統
[19:03] 兩個系統一季內做完我覺得合理
[19:07] 因為我們也是有兩個人在做
[19:10] 再來就是前一季沒完成的
[19:13] 還是要把它處理起來
[19:14] 然後就是7月中
[19:15] 那M1這一季我一個人做
[19:17] 我看一下有沒有辦法做
[19:18] 你先能把Crystal如果拆成獨立塊
[19:21] 你全部丟在GV把這個弄出來一塊
[19:24] 這樣就行了
[19:25] 就先那一塊把它拆出來
[19:27] 因為等於說Payman這個網站有沒有
[19:29] 這個要重駕
[19:30] 我們確定這個重駕
[19:32] 把別的設計之類的要用到實際
[19:34] 比較確定一定要
[19:35] 看一下別人的看怎麼做
[19:37] 因為我覺得上次不是有一些廣告網站
[19:41] 不是 如果說只拆Crystal Report出來的話
[19:45] 應該可以不用那麼久
[19:47] 當然不用那麼久
[19:48] 那個丟給CHRGV那個分分鐘的事
[19:51] 不是 主要是把這個拆出來
[19:53] 以前料列印的那個code要來
[19:58] 它現在是走80
[20:01] 它是一個web service
[20:04] 你名字一樣就搞定了
[20:06] 它是一個web service
[20:09] 它是web service
[20:10] 它就名字一樣就搞定了
[20:11] 可是我覺得它是直接做一個套件
[20:15] 在DVB裡面
[20:16] 有 那DVB就是
[20:18] 我就呼叫一個web service
[20:19] 然後把它壓縮起來
[20:21] post上去
[20:22] 然後從那邊download一個東西
[20:23] 你可以看一下那個code
[20:26] 它是把它自己的data set
[20:28] data set丟post上去
[20:30] 然後指定它是哪一個Crystal Report
[20:33] 它那邊整理好一個PDF
[20:36] PDF
[20:37] 然後就下來
[20:39] 就這樣
[20:40] 它沒有做什麼事
[20:41] 就啪
[20:43] 那邊做完之後
[20:44] Ryu 我看那個print裡面寫得很複雜
[20:47] 它故意把它
[20:48] 我覺得它print
[20:49] 何必弄那麼複雜說
[20:50] 這個表能不能印
[20:51] 不用 你要印的話
[20:53] 它不需要去繼承
[20:55] iprint那個printable的那個
[20:57] 不需要
[20:58] 可是它每個程式都要這樣繼承
[21:02] 不然它印不出來
[21:03] 沒有 它以前的工程師是那種
[21:05] 純粹軟體工程的那種
[21:07] 它的信念就是軟體工程
[21:10] 所以它做什麼都是要做interface
[21:15] 什麼
[21:16] 好 沒關係 不重要
[21:18] 我們先看一下jordle code
[21:19] 然後把它拆出來
[21:20] 然後它的名字一樣
[21:21] 把它拆 把它獨立開來
[21:23] 這樣payment我們再重寫的時候
[21:24] 我不用考慮Crystal Report
[21:27] 因為Crystal Report就是我剛才講那個點
[21:29] 我每個月要去把它關掉十分鐘
[21:30] 那十分鐘如果有人要
[21:32] 也是印不出來
[21:33] 就每個月的那十分鐘
[21:35] 這有個感覺
[21:35] 因為我記得裡面寫的詞詞碼
[21:37] 滿複雜的
[21:39] 把它簡化
[21:40] 不需要這麼多
[21:42] 它在crytland的printable
[21:47] 有或沒有其實不重要
[21:48] 它就是把一些東西
[21:50] 做成一個共用的interface
[21:53] 然後其實我覺得沒有那麼好用
[21:59] 它計程那一大堆
[22:00] interface沒有比較好用
[22:03] 對啊
[22:05] 到時候我可能會再
[22:07] 可能我自己再建一個後台之類的
[22:10] 然後
[22:10] 它把一個房子蓋得這樣子
[22:12] 隔間隔得每一塊每一塊
[22:15] 重新再弄
[22:16] 其實我們就一個空間就有
[22:17] 我不知道它是疊床駕駛
[22:19] 我不知道
[22:20] 疊床駕駛造成說它做了三年
[22:24] 它才做完這個payment
[22:27] 它的很多東西到現在也是不能用
[22:30] 重點是bug也是沒用
[22:33] 就是說你疊床駕駛之後
[22:34] 你的bug其實還是很多
[22:36] 你不是說用這種寫法
[22:38] 它就比較沒事
[22:41] 也沒比較好維護
[22:43] 至今沒有人看得懂
[22:44] 沒有看得懂
[22:46] 它沒有文件也沒人看得懂
[22:48] 那現在也是AI的時代
[22:50] 現在如果是我的話就是
[22:54] 我給AI需求零件就好
[22:58] 沒關係
[22:59] 那就是我們這一季
[23:01] 第三季就是關係帳戶系統跟payment
[23:03] 應該先這樣子
[23:04] 然後再把舊的幾個處理起來好不好
[23:08] 所以你這個還是要做
[23:09] 就是它的那個UI的那個牆前面
[23:13] 要啊
[23:13] 你就出去
[23:14] 我說我跟LINE有連結
[23:17] 一樣也是可以
[23:18] 所以我覺得
[23:19] 跟LINE有連結
[23:20] 你可以直接從這邊
[23:21] 你只要官方帳號給我
[23:22] 我就可以幫你
[23:23] 你就可以用LINE發一些訊息
[23:25] 因為我發現這個其實有缺點
[23:27] 因為它這個發出去有沒有
[23:29] 它其實是走的是群發的那個
[23:31] 就是有消耗那個流量
[23:33] 不是 你可以上面寫200
[23:37] 就是1分之200
[23:39] 它是每個月的最後一天去切掉是不是
[23:42] 那其實算法也不是那麼即時
[23:45] 它就是
[23:46] 我解釋一下
[23:47] 它就是
[23:48] 它好像每天的早上10點到12點
[23:51] 會去結算
[23:53] 昨天就是這個時間的
[23:55] 上次結算前的發的訊息那樣
[23:59] 沒關係啦
[24:00] 我的意思反正就是
[24:01] 有這個是我們去推的時候好講話
[24:04] 你看我現在可以跟LINE連
[24:06] 我可以demo給你看
[24:07] 要也是可以
[24:08] 所以我覺得這個功能有點激烈
[24:11] 我覺得那功能才是賣點
[24:13] 你怎麼會覺得有點激烈
[24:15] 不是 因為它有一些功能是
[24:16] 包含在賣的後端
[24:18] 就後台那邊你知道嗎
[24:20] 沒有啊
[24:20] 就是人家有我們把它包裝成我們
[24:24] 我知道人家有時候是這樣子
[24:25] 人家有把它包裝成我們可以連結
[24:27] 這個也是很大一個賣點
[24:29] 就像是人家現在在玩那個
[24:32] 所以這個就先記得到時候我沒有放
[24:34] 因為它現在那個預算
[24:36] 我就是把這個
[24:38] 前面的資訊資料打包完
[24:41] 丟到這EPI什麼資訊
[24:42] 我講一個重點是
[24:43] 它是我們可以知道它是誰
[24:46] 這一點就跟人家不一樣
[24:48] 我知道它是哪個會員
[24:50] 對 但是要跟會員連結
[24:52] 就是後端的料理
[24:53] 那我們現在跟客戶那邊
[24:55] 我今天去demo客戶的時候
[24:56] 你先加下我的官方帳號
[24:58] 然後你連結一下
[24:59] 我是不是就可以在這邊
[25:01] 發一個LINE給你
[25:03] 我可以在這個畫面
[25:04] 直接發一個LINE給你
[25:06] 它如果這是LINE的
[25:07] 你要先成為POST的會員之後
[25:09] 再去綁他們的那個
[25:11] 對啊 沒關係啊
[25:12] 那我可以demo給他們看
[25:15] 就是我的會員可以跟LINE連結
[25:17] 現在他們沒有感覺 你懂嗎
[25:19] 然後我連結之後
[25:20] 我可以結合你的
[25:22] 你曾經銷售過什麼東西
[25:27] 你那個LINE連結旁邊
[25:28] 如果還有歷史消費器
[25:30] 哇 wonderful
[25:32] 就是我在推這個東西的時候
[25:34] 就會他們就覺得
[25:36] amazing
[25:37] 而且還有另外一個amazing的點是
[25:40] 我們的那個leaf有沒有
[25:41] 雖然不是我們自己寫的
[25:43] 但是他們都覺得那個東西
[25:46] 他們要
[25:47] 每個人都說他們要
[25:48] 你說leaf
[25:49] 就是我們的那個下面不是有那個
[25:52] 盤點
[25:53] 那個權威那個底下
[25:55] 它不是有一些盤點庫存那些
[26:00] 你說智慧科學上面寫的
[26:03] 對…
[26:05] 這部分我也是有說
[26:08] 這個是賣點
[26:09] 而且我現在好像還沒有
[26:11] 我的這個好像現在好像沒連結
[26:13] 幫我連一下
[26:18] 是不是新手機
[26:19] 也沒有新的
[26:20] 不知道當初是拿掉還是怎麼樣
[26:24] 因為我跟市長都連上去
[26:27] 那幫我加一下
[26:31] 我貼我的ID上去
[26:32] 在我們的群裡面
[26:34] 為什麼
[26:36] 我這個我的ID我先貼到群裡面
[26:38] 然後你幫我加看
[26:40] 加哪一家都可以
[26:43] 對
[26:43] 然後我這樣上網demo給人家看
[26:45] 現在我去demo的時候這個也卡住
[26:46] 那機器庫存那個畫面好像也卡住
[26:48] 就我跟市長是有
[26:50] 可以…
[26:51] 那就是
[26:53] 你就把它
[26:53] 之前是被拿掉
[26:55] 我自己把它拿掉還是我把它換
[26:57] 換成哪一家我不知道
[26:59] 沒關係你再幫我連一下
[27:00] 好
[27:01] 我就幫你拿一下
[27:03] 好
[27:03] 我就幫你拿一下
[27:05] 是在放在config裡面嗎
[27:07] config
[27:07] 你應該知道嘛
[27:08] 哪一個
[27:09] 就是如何把工程師的那個
[27:12] 那個ID連上去
[27:15] UID連到我們的這個
[27:17] 這個上面
[27:19] 我忘記是哪個資料庫
[27:21] 還有我們那天的那個
[27:23] 對
[27:24] 就登入進去
[27:26] 對 就是幫老闆把他的UID
[27:29] 連到我們的資料庫
[27:30] 這個資料庫我不是很清楚在哪裡
[27:32] 所以也是你幫我加進去
[27:34] 是我
[27:35] 你要跟他講
[27:36] 到時候我再看一下
