# 逐字稿 2026-04-22
# 來源音檔：錄製 (2).m4a

[00:00] 所有的AI模型都是這些預訓內的
[05:54] 蛋白質的語言模型
[05:56] 那現在我們剛講那
[05:58] 另外一種就是所謂的細胞的
[06:00] 語言模型那
[06:02] 現在目前要知道細胞語言模型
[06:04] 現在目前有很多的嘗試
[06:06] 可是這一個嘗試
[06:08] 是一個有趣的那這個嘗試
[06:10] 有趣在哪裡它不
[06:12] 訓練不自己
[06:14] 訓練語言模型是
[06:16] 把細胞的狀態
[06:18] 變成是一般的語言
[06:20] 模型可以等一個多天就像我剛
[06:22] 介紹一些事情我們現在如果
[06:24] 把我們的其中
[06:26] 口號裡面的15分鐘
[06:28] 的比特幣然後把它轉換
[06:30] 成語言的序列
[06:32] 丟進去給這種一般
[06:34] 的這種語言模型
[06:36] 像譬如說Gmabot
[06:38] Gwin3.5那它都會是
[06:40] 一個有趣的一種想法
[06:42] 那這個東西就是
[06:44] 我們在這裡要跟大家
[06:46] 介紹就是說
[06:48] 這個概念因為剛剛
[06:50] 有同學在問說我們
[06:52] 現在期末口號要做什麼
[06:54] 其實我們期末口號我們希望
[06:56] 做的事情就是把這個概念
[06:58] 拿來用
[07:00] 把這個概念拿來用
[07:02] 就是能不能夠拿
[07:04] 這種所謂的語訓練語言模型
[07:06] 來做一些
[07:08] 有趣的不一樣的事情
[07:10] 好那我們先了解一下
[07:12] 這件事情大家是
[07:14] 做法這樣
[07:16] 首先這是一個框架
[07:18] 它
[07:20] 然後
[07:22] 接下來
[07:24] 原本
[07:26] 我們大家都知道
[07:28] 我們在這個
[07:30] 課堂上面我們有一個
[07:32] 早期就是
[07:34] 一開始在上課的時候
[07:36] 我們也可以會打
[07:38] 打
[07:40] 我知道我做的
[07:50] 各位
[07:52] 好
[07:54] 那
[07:56] 大家都知道我們在這堂課的
[07:58] 開始我們就跟大家講
[08:00] 的窩與背景的概念
[08:02] 那窩與背景的概念的
[08:04] 想法就是說
[08:06] 我們能不能夠把那個原本的
[08:08] 字元或是字詞的意思
[08:10] 變成是一種
[08:12] 向量表示然後呢
[08:14] 能夠用一些數學運算的方式
[08:16] 來去做一些運算
[08:18] 那這個東西是我們
[08:20] 在這堂課的早期我們
[08:22] 跟你們講過的窩與背景的概念
[08:24] 那這個概念什麼時候
[08:26] 大概是2011幾年
[08:28] 11.6年這時候提出來了
[08:30] 然後接下來呢這個概念裡面
[08:32] 有一個很主流的一個
[08:34] 例子就是說這個東西
[08:36] 概念是這樣子國王
[08:38] 把這個男人
[08:40] 這個特性或特徵向量
[08:42] 減掉加上女性
[08:44] 的特徵向量它就變成
[08:46] 往後
[08:48] 意思就是說原本
[08:50] 這些虛如飄渺的概念
[08:52] 或是特徵的意念
[08:54] 比如說男性啊女性啊
[08:56] 皇室啊
[08:58] 這樣的概念它把它
[09:00] 轉換成所謂的
[09:02] 高維度的向量
[09:04] 那這樣子的一個東西呢
[09:06] 基本上來說
[09:08] 在2011幾年的時候
[09:10] 產生了很大的變化
[09:12] 就是我們原本
[09:14] 知道它是一個不同的字
[09:16] 我們不知道它之間彼此的關係
[09:18] 那我們經過這樣子的
[09:20] 高維度的特徵向量
[09:22] 我們就可以去想辦法
[09:24] 把這個向量變成是
[09:26] 可以數學運轉的方式
[09:28] 那這個東西再經過延伸
[09:30] 延伸是什麼呢
[09:32] 這種延伸叫做transformer
[09:34] 這種延伸叫做transformer
[09:36] 那transformer的
[09:38] 概念是這個樣子就是說
[09:40] 好基本上來說
[09:42] 你有了特徵的向量
[09:44] 你有了特徵的向量
[09:46] 你這些特徵的向量
[09:48] 要怎麼樣想辦法把它拿來做用
[09:50] 那這個東西
[09:52] 2011幾年大家開始
[09:54] 做這個特徵向量
[09:56] 然後2018年這個transformer
[09:58] 就開始出來
[10:00] 然後那個2020年左右
[10:02] 就是CHED GPT的GPD3
[10:04] 得到大量的關注
[10:06] 那這個東西是因為
[10:08] CHED GPT它的
[10:10] 那個參數量達到175B
[10:12] 就是以1000多億
[10:14] 那時候1000多億
[10:16] 大家就是
[10:18] 可能不管人家先優
[10:20] 那1000多億以後
[10:22] 這個參數量很多億的原因
[10:24] 就是因為它全傳統的架構
[10:26] 裡面就是有幾個矩陣
[10:28] 那這些矩陣裡面就是想辦法
[10:30] 把你周遭的
[10:32] 這些所有的向量成為
[10:34] 然後乘上某些的權重
[10:36] 然後把它變成是我自己這個向量
[10:38] 然後我自己這個向量之後
[10:40] 我就可以去找到一些
[10:42] 非常好的字
[10:44] 去把它填回去
[10:46] 那這樣子的一個過程裡面
[10:48] 在早期
[10:50] 早期
[10:52] BURT是最早開始做transformer
[10:54] 然後最為人所知的
[10:56] 就是CHED GPT
[10:58] GPD3的一個
[11:00] 新企
[11:02] 那這個東西的關鍵點就是
[11:04] 你的transformer的架構
[11:06] 把這些所謂的特徵向量的概念
[11:08] 把它給最大化
[11:10] 最大化的意思就是
[11:12] 我不是只有給你向量
[11:14] 我現在可以把這個向量變成文字
[11:16] 現在可以把這個東西
[11:18] 變成是你看得懂的東西
[11:20] 那這些東西裡頭
[11:22] 我們為什麼
[11:24] 能夠把這件事情做起來呢
[11:26] 就是因為
[11:28] 這個東西裡面所需要調的
[11:30] 是這些權重
[11:32] 那這些權重裡面調的東西是什麼
[11:34] 就是我所有的這些文章
[11:36] 我把某一些
[11:38] 地方拿掉
[11:40] 然後我們其他的東西能不能填得回去
[11:42] 就這樣而已
[11:44] 那他根本也不用找說
[11:46] 那個什麼人的訓練
[11:48] 但是他後來
[11:50] 大家如果知道一下CHED GPT的所有的概念
[11:52] 其實他後面的話
[11:54] 會跟人類對齊啊
[11:56] 跟什麼這些相關的
[11:58] 然後後面還有很多的一些發展
[12:00] 但是你就先想一下
[12:02] 在自然語言模型裡面
[12:04] 他的概念其實是發展成這樣
[12:06] 先從特徵向量開始
[12:08] 然後接下來呢
[12:10] 這個Transformer出現以後
[12:12] 然後接下來大家就開始把這個東西
[12:14] 訓練成各種各樣的語言模型
[12:16] 那這個東西一開始就是CHED GPT
[12:18] 然後接下來是各大公司
[12:20] 都開始訓練
[12:22] 然後從2020年到現在
[12:24] 這幾年的時間發生了革命的新的變化
[12:26] 那大家的語言模型都越來越強
[12:28] 那這些語言模型能幹嘛
[12:30] 後來大家都知道我現在是做默契
[12:32] 最近都很強
[12:34] 強到我真的不曉得怎麼形容
[12:36] 因為我也不曉得說這些很多的
[12:38] 像除了語言之外
[12:40] 那些什麼影像什麼這些東西
[12:42] 到底是怎麼訓練進去模型裡面
[12:44] 然後能夠得到這麼好的效果
[12:46] 這些東西都是一些非常非常
[12:48] 很多人
[12:50] 很多的機器
[12:52] 然後很多的這個經紀人
[12:54] 想辦法去弄出來
[12:56] 那這個東西我覺得是一個非常有趣的點
[12:58] 好 毫無疑問
[13:00] 人類的語訓練語言模型
[13:02] 是得到所有的資源
[13:04] 那我們能不能夠
[13:06] 把這個人類語訓練語言模型拿來做一件事呢
[13:08] 這是我們今天的一個
[13:10] 黑暗的解釋
[13:18] 好 那蛋白
[13:20] 我們一開始在講這個的時候
[13:22] 我們其實中間一度
[13:24] 有跟大家提到這種所謂的
[13:26] 蛋白質語言序列的語言的狀態
[13:28] 那你就可以把它想像成其他
[13:30] 基本上來說它就是沒有空白
[13:32] 然後它就是
[13:34] MG算它20種
[13:36] 然後蛋白質序列大概平均大概是
[13:38] 兩三百三四百之類的
[13:40] 然後接下來
[13:42] 各種各樣的東西
[13:44] 你現在目前的蛋白質序列也是非常非常多了
[13:46] 所以蛋白質語言序列其實最近也是
[13:48] 做了我個人
[13:50] 做的相關研究都是
[13:52] 跟這個蛋白質語言模型有關係的
[13:54] 我們就是拿蛋白質語言模型
[13:56] 來去做各種各樣的東西
[13:58] 先跟大家做一下說明
[14:08] 好 那這幾個是我們一般常用的
[14:12] 所謂的
[14:14] DA連觸
[14:16] 然後所謂的
[14:18] 那個
[14:20] 那個
[14:22] 那個叫做
[14:24] Forge
[14:26] Portrait
[14:28] 就是produe
[14:30] 那這個都是我們實驗室裡面
[14:32] 已經不再用了
[14:36] 然後一樣的概念就是
[14:38] 你看各位給你調案
[14:40] 數段的數列
[14:42] 然後它訓練的時候就是
[14:44] 把某些的胺基酸拿掉
[14:46] 然後把它調整
[14:48] 然後接下來你把一個胺基酸序列
[14:50] 丟進蛋白質語言模型
[14:52] 你基本上就可以得到
[14:54] 一個位置的那種滑稽的特分項
[15:00] 好來那接下來我們就開始
[15:02] 重新的概念就是說
[15:04] 其實是這樣的就是說希望
[15:06] 大家就是有一個很好玩的
[15:08] 譬如說就是大家能不能夠把
[15:10] 剛剛講一個細胞裡面的
[15:12] 兩貫多種的
[15:14] 胺基酸拿下來的表現
[15:16] 變成是一種語言的
[15:18] 樣化的
[15:20] 那基本上來說是可行的
[15:22] 那這個可行是什麼
[15:24] 它基本上就做了一件
[15:26] 它這一篇論文裡面就做了一件事情
[15:28] 那這個
[15:30] 這個語言模型
[15:32] 是
[15:34] Google跟Yale的一個
[15:36] 一個年輕教授合作的
[15:38] 然後他們就提出來這個事情
[15:40] 然後他們前一個月
[15:42] 就
[15:44] 你會恢復了嗎
[15:46] 那不行
[15:48] 如果要往後化
[15:50] 沒關係還算了
[15:52] 我們這樣就可以了
[15:54] 我們自己本身也要往後起來
[15:56] 到時候再看怎麼辦
[15:58] 好那
[16:00] 我跟他講就是說
[16:02] 這個實驗室
[16:04] 做了這個概念
[16:06] 就是把細胞裡面的
[16:08] 每一種蛋白質
[16:10] 然後根據表現這樣把它都排序
[16:12] 然後把蛋白質的一個名稱
[16:14] 變成是一個字串
[16:16] 來代表這個細胞
[16:18] 然後把這個細胞字串
[16:20] 或是細胞的句子
[16:22] 然後丟進Gma2
[16:24] 模型裡面
[16:26] 做綠序列
[16:28] 做YKW
[16:30] 然後接下來呢
[16:32] 做了這件事情
[16:34] 他們就
[16:36] 把這個實驗室裡面的兩個
[16:38] 這個實驗室的
[16:40] 然後就獨立出來一家公司
[16:42] 叫做Sale Time
[16:44] 然後那家Sale Time就到細胞
[16:46] 那個Quality Connector的
[16:48] 孵化器去募資
[16:50] 第一輪就募到600萬
[16:52] 600萬美金
[16:54] 就募資
[16:56] 所以我們就加
[16:58] 講就是說其實這個東西
[17:00] 的概念基本上是一點通
[17:02] 可是呢你把它做
[17:04] 出來之後呢
[17:06] 大家對你的認同
[17:08] 比如說在美國在這邊
[17:10] 其實大家對你的認同是蠻不錯的
[17:12] 那我今天呢就藉這個機會
[17:14] 要跟大家介紹一下
[17:16] 這個東西的想法
[17:18] 這個怎麼來的
[17:20] 好來那這個東西的概念
[17:22] 就是這樣就是說
[17:24] 我們呢整個呢
[17:26] 很多時候我們現在其實
[17:28] 不知道所謂的細胞
[17:30] 裡面各個蛋白質
[17:32] 它到底能夠
[17:34] 告訴我們
[17:36] 那這個細胞的蛋白質表現
[17:38] 到底能夠告訴我們什麼呢
[17:40] 我們希望用一個
[17:42] 自然原模型來解讀它
[17:44] 自然原模型
[17:46] 自然原模型並解讀
[17:48] 一個細胞的
[17:50] 這個
[17:52] 狀態蛋白質的表現
[17:54] 你就覺得這件事情有點
[17:56] 好像有點
[17:58] 不著邊際就是說
[18:00] 一個是生物學的問題
[18:02] 一個細胞的問題
[18:04] 但是這種東西
[18:06] 某種角度來講你可以把它想
[18:08] 其實它基本上有很想像的東西
[18:10] 你其實是需要
[18:12] 把它變成
[18:14] 一種有資料
[18:16] 訓練的方法
[18:18] 那你就要把你的
[18:20] 所謂的Digital Save
[18:22] RID的資料啊
[18:24] 那把它轉換成那個我們
[18:26] 原模型看的樣號
[18:28] 然後接下來我們大量的資料
[18:30] 然後去你的原模型嘛
[18:32] 那接下來應該就是會有一些
[18:34] 結果跑出來
[18:36] 好來大家做一些什麼事情
[18:38] 就是這樣子
[18:40] 就是說我們基本上
[18:42] 來說我們找到一個
[18:44] 簡單的方法把這個所謂的
[18:46] 把這個Single Save
[18:48] 各種各樣的蛋白質的
[18:50] 表現量先依照
[18:52] 表現量去做
[18:54] 就要把它做
[18:56] 那就是說你比較常
[18:58] 出現的那些蛋白質排在前面
[19:00] 比較少出現的蛋白質排在後面
[19:02] 然後把這些蛋白質的
[19:04] 名稱
[19:06] 接在一起
[19:08] 然後就可以你的所謂的
[19:10] Sale Center
[19:16] 這邊有沒有
[19:18] 蛋白質
[19:20] 蛋白質真的很簡單
[19:22] 依序最剛的
[19:24] 把在前面
[19:26] 把這個排千個
[19:28] 那這個東西
[19:30] 你要排多少個是
[19:32] 需求啦
[19:34] 或是說有各種各樣的限制
[19:36] 那譬如說你用千個也好
[19:38] 用五百個也好
[19:40] 這都是你可以去選的
[19:42] 那你就去選
[19:44] 就拿選一千個
[19:46] 或是前五百都可以
[19:48] 那這個東西
[19:50] 就是一個
[19:52] 把一個
[19:54] 單細胞的蛋白質表現量
[19:56] 變成是一個
[19:58] 蟲蚊子的距離
[20:00] 然後這些蟲蚊子的距離
[20:02] 我們又根據了
[20:04] 第一個根據了
[20:06] 五千萬個
[20:08] 細胞的量
[20:10] 我直接來給大家看看
[20:12] 我們有五千萬個
[20:14] 人類的
[20:16] 或是老鼠的
[20:18] 所謂的單細胞表現量的量
[20:20] 然後呢
[20:22] 進一步轉成所謂的
[20:24] 蚊子的距離
[20:26] 然後就把它去做所謂的
[20:28] 發音體律
[20:30] 那發音體律的意思就是說
[20:32] 我做一個比較小的體證
[20:34] 把這個原本的選動
[20:36] 呈現出來的所有形化
[20:38] 把它補回去
[20:40] 就是我原本的這些基因的
[20:42] 名稱串起來
[20:44] 要把一個拿掉
[20:46] 然後訓練者的這個選動
[20:48] 的體證
[20:50] 那你就會
[20:52] 因應這個去訓練出來
[20:54] 你會把你的目前的
[20:56] 一般通用的原模型
[20:58] 變成是所謂的
[21:00] 獨得懂
[21:02] 那種所謂的細胞
[21:04] 的這種狀態的原模型
[21:06] 那
[21:08] 那這個東西是第一步
[21:10] 第一步
[21:12] 它後來呢
[21:14] 當然還有做一些東西
[21:16] 這個概念是第一個
[21:18] 這個東西是做了對我
[21:20] 全環的資料
[21:22] 然後第二個就是說
[21:24] 我們想辦法從這個
[21:26] 這個大家已經可以下來
[21:28] 那他說他們下來是驅馬兔27
[21:30] 但是我們現在有很多新的
[21:32] 剛講過我們平民在這裡
[21:34] 我們有這個驅馬兔
[21:36] 他們都是很早期
[21:38] 驅馬兔
[21:40] 然後接下來呢
[21:42] 他們就開始做很多的事情
[21:44] 做一些相關的事情是說
[21:46] 我基本上來說
[21:48] 我不是只有把
[21:50] 這五千萬筆的資料來訓練
[21:52] 我還做了一些事情
[21:54] 比如說我把這五千萬筆資料
[21:56] 裡面的這些機的
[21:58] 去組然後跟它
[22:00] 搭配的入魂
[22:02] 跟它搭配的所有的這個文件
[22:04] 全部一起訓練
[22:06] 那全部匯進去之後
[22:08] 那你就知道我們現在原模型
[22:10] 裡面匯進去啊給它
[22:12] 多出這些資料它都慢慢
[22:14] 就搞到一些對應的關係
[22:18] 然後呢這些相關的東西
[22:20] 做了各種
[22:22] 這樣的這些所謂的
[22:24] 訓練以後
[22:26] 慢慢的我們就得出來一個東西
[22:28] 就是我們能夠
[22:30] 讓我們的
[22:32] 驅馬兔模型
[22:36] 結果那個網子
[22:38] 都會這樣
[22:40] 因為下午他們其實前一段
[22:42] 把他調了
[22:44] 那為什麼
[22:46] 我不知道
[22:48] 剛剛我們問兩組
[22:50] 剛剛我們還接回去
[22:52] 不知道在comment
[22:54] 還是兩百九十
[22:56] 了解
[22:58] 好
[23:00] 好
[23:02] 我突然大家都有弄這個沒問題
[23:08] 那個可以試五千萬筆
[23:10] 沒關係
[23:12] 我覺得還好
[23:14] 我現在是要慢慢的把
[23:16] 這些事講完之後我要跟大家講
[23:18] 接下來大家去把
[23:20] 這個Sale to Sentence的入
[23:22] 拿Sale to Sentence的Github
[23:24] 你們現在
[23:26] 可以去Google一下
[23:28] Sale to Sentence
[23:32] 那你就可以看到那個
[23:34] Github
[23:36] 然後它裡面有提供各種各樣
[23:38] 各樣的那個
[23:42] 有嗎
[23:46] Sale to Sentence
[23:50] 對
[23:52] 應該就有
[23:54] 它裡面有Github
[23:58] 對對對
[24:00] 然後它裡面有入
[24:02] 那其實我們是要先讓大家
[24:04] 我今天跟大家
[24:06] 介紹一個概念
[24:08] 我們希望大家做一次
[24:10] 把這個入文看一看
[24:12] 然後它裡面有提供給你那個
[24:14] 十一個
[24:16] 這種所謂的那個
[24:18] Jumper Ternal Orchid
[24:20] 然後呢
[24:22] 去把它run run
[24:24] Tutorial這裡
[24:26] 對對對Tutorial
[24:28] 然後裡面有十一個
[24:30] 其實事實上是有十一個
[24:32] 它這裡只列了六個
[24:34] 對
[24:36] 資料夾裡面
[24:38] 對對對沒錯就十一個
[24:40] 沒錯就是這十一個
[24:42] 然後呢拿過來run run這樣
[24:46] 然後玩一下
[24:48] 因為我們先玩一下這個概念
[24:50] 因為你知道其實很多東西
[24:52] 我這樣講我會沒有概念
[24:54] 你還是得要用
[24:56] 首先你現在要用BI模式
[24:58] 去把那個Sale to Sentence
[25:00] 幫你整理一下
[25:02] 翻譯一下這樣
[25:06] 那你要先
[25:08] 我們要先把這個論文跟這個Github
[25:10] 這兩個東西有沒有
[25:12] 先做一個整理
[25:14] 然後我們下禮拜報告一下
[25:16] 然後我先把這個
[25:18] 核心概念一步一步跟大家
[25:20] 解釋一下
[25:24] 它這是一個
[25:26] 然後Github的資料
[25:30] 因為那個
[25:32] 官方連結
[25:34] 因為它其實有
[25:36] 先文件
[25:38] 這個要兩件
[25:44] 那我是希望
[25:46] 大家用各種各樣的AI工具
[25:48] 去把這個題目了解了解
[25:54] 然後把這個
[25:56] 這幾個
[26:00] 是
[26:08] 這是一個
[26:10] 這是一個文件
[26:22] 所以就是看這個Github
[26:24] 裡面的所有東西
[26:26] 然後就報告下一次這樣
[26:28] 對
[26:30] 然後當然
[26:32] 它有一個地方有論文
[26:34] 那個論文在
[26:36] 這裡這一邊論文沒錯
[26:38] 然後論文有
[26:40] 最新版本
[26:42] 是第四版的
[26:44] 對
[26:46] 對這裡去
[26:48] View這個
[26:50] 好這是最新版本
[26:52] 然後這裡直接可以點Food or Text
[26:54] 這樣
[26:56] 把它看一看整理起來
[26:58] 好不好
[27:02] 論文在這裡
[27:04] 點這個
[27:06] 然後它是第二版
[27:08] 現在是第四版
[27:10] 對
[27:12] 這上面就是
[27:14] 這個最新的
[27:16] 然後點Food
[27:20] 不重要
[27:22] 這問題就在這
[27:24] 對這裡這個就是它的論文
[27:26] 把
[27:28] 用各種各樣的工具
[27:30] 看一看
[27:32] 對
[27:34] 其實版本它
[27:36] V2 V4
[27:38] V2 V4
[27:40] 對
[27:42] 臉紅色那一種
[27:44] 對
[27:46] 對
[27:48] 對
[27:50] 對
[27:52] 對
[27:54] 那個請你遵照
[27:56] 我們之前教給大家的
[27:58] 報告的樣號
[28:00] 根據這一些論文
[28:02] 跟你的這些
[28:04] 做出來一個
[28:06] 簡單的簡報
[28:08] 下禮拜報告一下
[28:10] 這是我們現在目前
[28:12] 接下來我們大家知道
[28:14] 跟大家講的幾個東西就是說
[28:16] 其實我們現在主要就是希望
[28:18] 我們達到這個概念
[28:20] 它的概念
[28:22] 我剛剛不是已經講到說
[28:24] 它怎麼去訓練
[28:26] 其實它在論文裡面
[28:28] 還蠻辛苦的
[28:30] 它的訓練度都有各種各樣的訓練度
[28:32] 我覺得這些各種訓練度我們現在
[28:34] 不需要看
[28:36] 不需要非常的懂
[28:38] 非常的瞭解
[28:40] 可是因為你現在
[28:42] 它已經有
[28:44] 就可以當作
[28:46] 它的目前
[28:48] 兩個版本的
[28:50] 一個小一個大的這種模型
[28:52] 那我們就可以直接
[28:54] 拿來用了
[28:56] 那我們現在就把它用用看
[28:58] 它到底有什麼樣的能力
[29:00] 都有相關的
[29:02] 各自努力
[29:04] 有相關的點就是說
[29:06] 它這11個是在
[29:08] 示範
[29:10] 因為它是突然入資
[29:12] 它就要去示範說
[29:14] 我這個模型能幹
[29:16] 所以它
[29:18] 突然間變化
[29:20] 就是說它其實每一個都努力
[29:22] 每一個都努力
[29:24] 再來
[29:28] 我們現在是
[29:30] 還是我們要把它拿來
[29:32] 另外
[29:34] 有這個
[29:36] 然後跟你去做
[29:38] 那是一個
[29:40] 不用全部做
[29:42] 那我可以就是
[29:44] 當然
[29:46] 當然都好
[29:48] 但是你還要想一下
[29:50] 那個報告入門
[29:52] 那個架構那個框架
[29:54] 就是框架
[29:56] 框架introduction
[29:58] 然後那個MASTER
[30:00] 他的這些相關東西是怎麼樣依序訓練
[30:02] 他的概念
[30:04] 因為他的概念我已經有大概介紹過了
[30:06] 我們現在發現入門的方式
[30:08] 對
[30:10] 簡報就是
[30:12] 入門的方式
[30:14] 像是我給你那個
[30:16] 你不是簡報也是一樣嗎
[30:18] 就是我們做到MASTER
[30:20] 然後結果
[30:22] 現在它的結果你可以
[30:24] 放它入門的結果跟你的
[30:26] 好的結果
[30:28] 最後做一個簡單的總結
[30:30] 概念是這樣
[30:32] 可以嗎
[30:34] 好
[30:36] 那大致上來講
[30:38] 其實我覺得
[30:40] 現在思考的東西其實是這樣子
[30:42] 就是說
[30:44] 我們要拿這個東西來幹
[30:46] 當然
[30:48] 那是不是直接把
[30:50] 這個self這個模型
[30:52] 拿出來做一些用途
[30:54] 那它的用途是什麼
[30:56] 它可以做幾件事情
[30:58] 就是說
[31:00] 它裡面這個案例裡面
[31:02] 為什麼我會講到這個東西其實是因為
[31:04] 這個東西
[31:06] 它後來
[31:08] 它把它做了訓練之後
[31:38] 它
[31:40] 它
[31:42] 它
[31:44] 基本上來說
[31:46] 它
[31:48] 做好這個模型
[31:50] 然後它就把這個所謂的
[31:52] 這個矮細胞
[31:54] 然後
[31:56] 矮細胞的狀態轉換成
[31:58] 剛講的所謂的精英
[32:00] 名稱的序列
[32:02] 然後再用自然語言的方式
[32:04] 然後或一些參數的方式
[32:06] 去描述說
[32:08] 現在這樣子的一個矮細胞狀態
[32:10] 然後
[32:12] 你沒有所謂的干擾素
[32:14] 干擾素就是有點
[32:16] 你在發炎的狀態
[32:18] 會反正這種所謂的干擾素
[32:20] 那你沒有干擾素的狀況
[32:22] 你加了什麼樣的藥物
[32:24] 然後會
[32:26] 發什麼樣子的變化
[32:28] 那我們它
[32:30] 裡面去篩選我們四千種
[32:32] 藥物就是矮細胞
[32:34] 然後沒有干擾素的情況
[32:36] 以下然後我們希望
[32:38] 觀察到這個藥物
[32:40] 加進去之後
