# 逐字稿 2026-05-05
# 來源音檔：錄製 (5).m4a

[00:00] 前面的話先講說
[13:50] 叫做最低消費
[13:52] 最低消費
[13:54] 如果有一個對話也使用限制
[14:00] 會有一個最低消費金額
[14:04] 我會把這個畫面解讀問他
[14:06] 這個最低消費金額
[14:08] 再把這個case丟上去
[14:10] 如果今天客人辦的是1399
[14:12] 他用盡足以抵扣的話
[14:14] 簡短問
[14:16] 就是說這個最低消費金額
[14:18] 有沒有含就是專案的用盡部分
[14:22] 也可以這樣問
[14:24] 假設這一張是零元
[14:26] 不是零元就是說
[14:28] 這一張的營利額是不是
[14:30] 我們把用盡也把它加進去
[14:32] 計算所謂的最低消費金額
[14:34] 因為他本身怎麼樣
[14:38] 那可能到他們這邊前面的
[14:40] 前面的這裡
[14:42] 這裡的說明可能就要改
[14:44] 可以啊
[14:46] 這個說明是要寫給
[14:48] A user看的
[14:50] 那如果說最低消費金額是
[14:52] 你如果要寫給A user看
[14:54] 你不能寫用盡有多少
[14:56] 對你懂不懂
[14:58] 所以他們可能會有一位說
[15:00] 我明明就沒有花到
[15:02] 三千塊然後為什麼
[15:04] 也沒用
[15:06] 應該是這樣講
[15:08] 有上專案
[15:10] 是不是最如果你有上專案
[15:12] 那我們就不考慮最低消費金額
[15:14] 這樣也是一個解決方案
[15:16] 等於說他們這邊的
[15:18] 分配號碼就行
[15:20] 對啊
[15:22] 你可以問那個他
[15:24] 我個人覺得是有上專案的
[15:26] 就不考慮最低消費金額
[15:28] 用盡的部分你不能明白
[15:30] 跟客人講
[15:32] 你有上專案的話
[15:34] 這一張卷就不考慮
[15:36] 最低消費金額是一個項目
[15:38] 應該講說最終他們
[15:40] 要不要用上卷還是
[15:42] 第一線的門之類的決定
[15:44] 他們算是第一個防護
[15:46] 不可能你再上去寫
[15:48] 韓專案就
[15:50] 就是專案或低銷
[15:52] 有專案或者是低銷多少錢
[15:56] 你的那個項目就是韓專案
[15:58] 或低銷這個錢
[16:00] 那這個如果你要
[16:02] 打勾那這邊寫一千
[16:04] 就是有韓專案就不用一千
[16:06] 那有一千的
[16:08] 管理有沒有專案我都讓你配的
[16:12] 就是你這樣去形容
[16:14] 會比較OK
[16:16] 這部分可能要再
[16:18] 跟客戶確認
[16:20] 再來就是
[16:22] 早上講到一個
[16:24] 退貨
[16:26] 退貨會比較麻煩
[16:28] 單據貸款案比較好處理
[16:30] 單據貸款案就是那個單據收入項目
[16:32] 然後一起
[16:34] 單據貸款案會有
[16:36] 只退單一商品的價
[16:38] 其實已經有不下
[16:40] 五次還十次有人說
[16:42] 專案也是可以退的
[16:44] 以前的專案是不能退的現在專案是可以退的
[16:46] 可是他退了他的這個
[16:48] 錢很少
[16:50] 很麻煩退的部分你要先寫
[16:52] 要先寫給原傳說
[16:54] 這個是
[16:56] 特案批准
[16:58] 這個人可以退因為
[17:00] 他收不到訊號
[17:02] 因為怎麼樣
[17:04] 他們要再跑回到原傳總務去審
[17:06] 專案這件事情
[17:08] 你下去了
[17:10] 有的是有七天的審閱期
[17:12] 有的是
[17:14] 你只要一下去了你拿回去用
[17:16] 發現你家沒訊號原傳敢不給你退
[17:18] 不然就需要機會客訴
[17:20] 我又收不到訊號
[17:22] 你也不改善
[17:24] 我也收不到訊號你只能退
[17:26] 退的話就很麻煩是你手機的補貼
[17:28] 你拿回來你的
[17:30] 保證金要取消他是屬於
[17:32] 所謂的
[17:34] 特種允許
[17:36] 他不是通案
[17:38] 但總會發生個幾次
[17:40] 那個Post用高雄來寫
[17:42] 你之前辦了之後
[17:44] 他不是會到後面用金的部分
[17:46] 然後又會到去核銷
[17:48] 你辦了之後又可以退
[17:50] 退了之後那邊就核銷
[17:52] 說已取消
[17:54] 他要多一個已取消的
[17:56] 我是覺得很無謂
[17:58] 現在這樣寫
[18:00] 我知道未來
[18:02] 有可能會發生退專案的問題
[18:04] 那退專案的部分
[18:06] 我目前都是叫他回去原本的單字改
[18:08] 因為
[18:10] 這個是屬於特許
[18:12] 這個不是通案
[18:14] 我們現在就只針對通案去討論的話
[18:16] 就是退貨就是依照退貨當下
[18:18] 其實應該是依照
[18:20] 他當初不是應照當下
[18:22] 當初的話他會有一個
[18:24] 原銷售單號
[18:26] 有原銷售單號
[18:28] 但是他有可能是部分退
[18:30] 部分退
[18:32] 所以應該是要
[18:34] 去看原銷售單號
[18:36] 他針對這個品項
[18:38] 假設他退的是配件
[18:40] 配件假設是50點
[18:42] 這部分好說
[18:44] 但最主要的是專案的部分要怎麼算
[18:46] 專案沒有
[18:48] 現在專案不給退就是每個區域都改
[18:50] 我意思說專案的話
[18:52] 都是可以去做代理
[18:54] 如果我們專案一定會綁一個商品
[18:56] 那如果有退這個商品的話連同原本的專案
[18:58] 也當把它
[19:00] 點數退回去就不搞了
[19:02] 沒有沒有
[19:04] 不會這樣搞
[19:06] 不會這樣搞
[19:08] 專案要退你就是要回到原單字去改
[19:10] 你就是在這邊
[19:12] 不會在這邊退這邊就退單一商品
[19:14] 那等於是說他們要
[19:16] 我這邊是還可以再多一個
[19:18] 按鈕啊就是那個
[19:20] 點數
[19:22] 就是那個點數退點
[19:24] 就是專案退點
[19:28] 就是不給他們
[19:30] 手調的方式下去
[19:32] 退那個點數
[19:34] 你不要在這個地方
[19:36] 你要嘛就在你之前
[19:38] 不是有一個調整的地方
[19:40] 你在那邊調
[19:42] 我很明確你是誰
[19:44] 你要什麼時間為什麼這樣調
[19:46] 你給一個理由
[19:48] 就是屬於一年只有極限的少數案子
[19:50] 對就是特案
[19:52] 但是你在這個畫面是每個人都能退喔
[19:54] 喔那個全線是完全不一樣喔
[19:56] 喔對然後
[19:58] 那個會員就是進階行銷有那個
[20:00] 全線的部分我們可能還要再討論一下
[20:02] 要開放給誰
[20:04] 可以調到哪些設定
[20:06] 你的進階行銷打開之後
[20:08] 它針對每一個功能其實
[20:10] 應該要有每一個功能的全線
[20:12] 對
[20:14] 有點像我們現在全線設定這樣
[20:16] 那除此全線只給老闆一個人
[20:20] 還是說我們要針對某一些全線
[20:22] 它可以先有這個修改
[20:24] 你除此先給
[20:26] 你每一個都開給老闆
[20:28] 老闆要開給誰你自己開嘛
[20:30] 而且我覺得我們的全線設計
[20:32] 是應該要Blubus
[20:34] 把那一條綁起來
[20:36] 但是因為太麻煩所以我沒有做
[20:38] Blubus
[20:40] 你看一下現在的員工全線設定
[20:42] 第一個它好像不能放在它水洗
[20:46] 我是想說這次有GVT
[20:48] 它可以放在它水洗好了
[20:50] 我會動
[20:52] 沒有
[20:54] 好像
[20:56] 好像它外型很要弱
[20:58] 沒關係我的意思是說你像這個銷售
[21:00] 它其實是J
[21:02] 你講什麼
[21:04] 就是說J這邊要
[21:06] 要有這個像
[21:08] 這樣才會比較明確
[21:10] 然後我進階行銷
[21:12] 是不是掛一個
[21:14] 另外你不應該掛那邊
[21:16] 你要多一個
[21:18] 沒有我就說
[21:20] 你這邊再多一個分點
[21:22] 進階行銷是在哪裡
[21:24] 二手機跟空間
[21:26] 對
[21:28] 掛在那中間
[21:30] 然後沒買的人請
[21:32] 灰色的就好了
[21:34] 灰色的就好了
[21:38] 你灰色的你或者是進去
[21:40] 之後全部灰色已經是
[21:42] 或者是進去之後全部灰色
[21:44] 銀商會購買死功能
[21:46] 然後觀看
[21:48] 觀看如何使用
[21:52] 應該講說你可以做一份通用文件
[21:54] 它沒有買
[21:56] 點了之後跳通用文件
[21:58] 反正通用文件是Seget
[22:06] 所以等於說
[22:08] 消退的部分
[22:10] 可能要跟林亞老師說
[22:12] 你之前消退
[22:14] 你要講清楚
[22:16] 消退的部分
[22:18] 最主要是有兩個要確認
[22:20] 一個就是記點的部分
[22:22] 就是說他們的點數
[22:24] 就是
[22:26] 點數限制還不含
[22:28] 轉移用幾個
[22:30] 是啊
[22:32] 還是說這部分要再開一個設定
[22:36] 設定什麼
[22:38] 就是
[22:40] 單據
[22:42] 誘惠券的金額限制
[22:44] 含不含
[22:46] 不要啊你就把那名字改一下
[22:48] 專案或者是金額限制
[22:52] 改一個level不是很簡單嗎
[22:54] 也可以啦
[22:58] 因為我怕他們是說
[23:00] 他們說就是不看專案用金
[23:02] 我覺得不看專案用金也比較狠
[23:04] 那我就反問他靈遠的1399
[23:06] 能不能送
[23:08] 他能使用折價券嗎
[23:10] 他折價券折100而已
[23:12] 但是
[23:14] 我想一下喔如果是折100代表你要花到
[23:16] 那個錢
[23:18] 他們的誘惠券是可以行財的
[23:20] 所以他們也可以設定一個沒有
[23:22] 單據限制就是金額限制的
[23:24] 其實我覺得他
[23:26] 應該可以不用考慮
[23:28] 為什麼啦我折100
[23:30] 折100是拿你的點數換
[23:32] 其實他不是現金
[23:34] 所以他如果設定1000塊
[23:36] 我也不用考慮專案
[23:38] 你這一張單要買1000我才讓你折
[23:40] 你如果含專案靈遠的話
[23:42] 我還折100是我要退1000給你嗎
[23:44] 確實
[23:46] 所以說他這個
[23:48] 應該不用考慮專案
[23:50] 剛剛想到如果是100折價券
[23:52] 200折價券也是一樣意思
[23:54] 滿2000用一張200折價券
[23:56] 你已經靈遠了我還要退你200
[23:58] 怎麼可能
[24:00] 不行不行
[24:02] 現有的什麼都不用改
[24:04] 什麼都不用改
[24:06] 還是要跟他們說明說
[24:08] 專案退
[24:10] 就是銷售退的部分
[24:12] 我就把說明掛在
[24:14] 剛剛你看到的點數設定
[24:16] 還有嗎
[24:20] 不用改
[24:22] 這個設定好就不用改
[24:24] 我還以為就是畫面也有調整
[24:26] 哪一個畫面
[24:28] 不是你之前說那個不夠直
[24:30] 一直沒畫面
[24:32] 調成4個零有沒有
[24:34] 沒有他們給我們他們的
[24:36] 有他身分認證現在沒有在
[24:38] 調他第一頁
[24:40] 沒有沒有就是要改過
[24:42] 有進步
[24:44] 然後就是點數兌換
[24:46] 他這邊就會直接調
[24:48] 然後就是點數兌換
[24:50] 然後就是點數兌換
[24:52] 他這邊就會直接開一個
[24:54] 我的快訊的位置
[24:56] 等於說你在這邊換網
[24:58] 他可以直接
[25:00] 簡介來給你用
[25:02] 比較直覺
[25:04] 然後這邊就現在上架就是
[25:06] 科實用
[25:08] 一共十個目標使用
[25:10] 畫面有做一個
[25:12] 協會調整
[25:14] 然後在目前
[25:16] 還欠的東西
[25:18] 欠零元的東西是先幫
[25:20] 給你丟進去
[25:22] 你那個上面顯示VIP鑽石
[25:24] 跟那個一般的那個
[25:26] 你有有嗎
[25:28] 東西太多了
[25:30] 沒有來得及先弄那個
[25:34] 你有跟林一說
[25:36] 當我把資料彙完之後
[25:38] 我再開給你設定嗎
[25:40] 然後我這邊再跟你確定
[25:42] 一個內容
[25:44] 就是因為我們現在
[25:46] 先開給他們設定那個點數
[25:48] 跟你講他這個等於是試用
[25:50] 他還沒flitch
[25:52] 所以你的穩定性料理
[25:54] 你不要讓他釋出一堆bug
[25:56] 他就不受搶
[25:58] 就是
[26:00] 我這邊的詩問
[26:02] 進階型號系統
[26:04] 一剛開起來
[26:06] 所有的銷售端就會開始集點
[26:08] 但是這不會有的地方
[26:10] 我可以先把它起用
[26:12] 先取消
[26:14] 先不讓它集點
[26:16] 但是現在他們設定是先不集點
[26:18] 到最後
[26:20] 他們這次起用的時候
[26:22] 再把中間這一段資料重新算一算
[26:24] 中間這一段是要開還是
[26:26] 這是3月16
[26:28] 他會先給我們的3月16進行
[26:30] 然後一直到他們
[26:32] 這次起用這一段時間
[26:34] OK你這個設計是OK的
[26:36] 但是你要知道他現在叫你開
[26:38] 不幸匯錢的原因
[26:40] 就是他想要試出來
[26:42] 你最好是
[26:44] 稍微有穩定性
[26:46] 是稍微沒問題知道嗎
[26:48] 他試用完之後他有可能
[26:50] 跟你說我覺得你的東西還在Data
[26:52] OKOK
[26:54] 這段跟合銷這邊
[26:56] 貴則有點差
[26:58] 沒關係
[27:00] 穩定性是你在測
[27:02] 所以你不要給人家太
[27:04] 太誇張的bug
[27:06] 那他現在是已經沒有all card了
[27:08] 所以他不用的機率本來就比較低
[27:10] 你如果是讓他試了之後
[27:12] 他覺得差太多可能就回去
[27:14] 他覺得你雖然便宜但是你的穩定性太差
[27:18] 所以這個東西
[27:20] 我就分一個丁了你自己看吧
[27:22] 然後還有就是
[27:24] 我先講好這優惠券
[27:26] 使用是一定要綁個會員
[27:28] 喔對
[27:30] 沒錯就是他沒有會員
[27:32] 他這邊就會先來
[27:34] 他要有會員而且他要有這張會員
[27:36] 這張優惠券就是
[27:38] 如果不知道bug的時候就去
[27:40] 其實是想開這裡面給他們看的
[27:44] 847去訂一隻
[27:46] 可以配雙了
[27:48] 沒事我就訂一隻
[27:50] 我在付錢
[27:52] 然後總經而這裡
[27:54] 我不用講這個
[27:56] 然後他合銷是這樣
[27:58] 就是進來
[28:00] 完成這個會員
[28:02] 直接在半價這邊
[28:04] 帶一個成本券
[28:06] 附上來換一張
[28:08] 好
[28:10] 如目前來講合銷
[28:12] 我根本就有試一些
[28:14] 你這樣做是很棒的
[28:16] 有錄影給他嗎
[28:18] 因為這個Key進去有點難看
[28:20] 你懂我意思嗎
[28:22] 我們現在等於是AI如果能幫忙的話
[28:24] 應該是要幫忙錄影
[28:26] 我都一部錄影在那裡
[28:28] 你要給人家說這個怎麼使用
[28:30] 你要錄影要嘛
[28:32] 拉一拉給他
[28:34] 你可以不用錄影你也跟他講
[28:36] 從這裡這裡這裡
[28:38] 怎樣
[28:40] 然後解析
[28:42] 我到時候再開一隻合銷的配合
[28:44] 所以說我們看
[28:46] 情況看是不是我先幫你開
[28:48] 但是你的點數
[28:50] 我也先幫你設定好
[28:52] 或者說你要自己設定
[28:54] 但是其他共同全部不開
[28:56] 我說我們現在還在匯入過程中
[28:58] 你懂我意思嗎
[29:00] 我是拿時間我要換時間
[29:02] 不是說
[29:04] 就是先開給他們的點數
[29:06] 你要設定可以啊
[29:08] 其他共同先不開吧
[29:10] 因為我還沒匯完
[29:12] 我們在測試完之後給你一個
[29:14] 反正那個都可以後備
[29:16] 測試完之後給你影片
[29:18] 影片先給你
[29:20] 你先確認有沒有什麼問題
[29:22] 也是在換時間
[29:24] 換完時間之後他如果要改
[29:26] 我們還可以改
[29:28] 不改他就確定都符合
[29:30] 心中所想
[29:32] 那這時候你通知我說
[29:34] 我們也6月1號快到了
[29:36] 麻煩你會怎麼款
[29:38] 我是問一下
[29:40] 因為這個進階性
[29:42] 是先給先開給他們的
[29:44] 他們也還沒有說
[29:46] 他們的官方帳號的
[29:48] 是這樣
[29:50] 我先開設定畫面給你
[29:52] 然後說我們接下來有幾個步驟
[29:54] 一是先把你這個
[29:56] 會員36號匯進去
