# 逐字稿 2026-04-30
# 來源音檔：錄製 (4).m4a

[00:00] 再來就是說,票券的地方只有銷售單位
[06:52] 他們怎麼賣
[06:54] 他們怎麼賣
[06:56] 保險
[07:24] 他這邊
[07:26] 就是講說
[07:28] 那個LimeJSG API
[07:30] 他本身就是
[07:32] 會限制PDF檔不能直接
[07:34] 直接從後面轉
[07:36] 那你就跟我講有限制
[07:38] 那我就會去考慮以後就是轉
[07:40] 只是你轉那個
[07:42] 所謂的
[07:44] 你轉那個
[07:46] 你轉那個
[07:48] 你轉那個
[07:50] 你轉那個
[07:52] 如果你轉那個所謂的
[07:54] 這個叫做
[07:56] 如果你是
[07:58] 覺得說他那個
[08:00] 直接丟一個連結給人家看起來
[08:02] 不是很雅觀的話
[08:04] 這裡可以把它包成一個
[08:06] FlexMessage然後有漂亮的卡片
[08:08] 然後下面有按點下去
[08:10] 就是花俏一點
[08:12] 這樣
[08:14] 不錯
[08:16] 我想說我們的報價是不是
[08:18] 都是
[08:20] 報價有效期的心情
[08:22] 報價
[08:24] 報價單有效期
[08:26] 要有一個有效期
[08:28] 有效期之後你都不認
[08:30] 你可以不認了
[08:32] 就像這次他就說我以前
[08:34] 報了一個9000塊
[08:36] 因為我沒有報價有效期
[08:38] 如果說報9000報價有效期一個禮拜
[08:40] 你一個禮拜都會請你都認
[08:42] 但一個禮拜你也不會請
[08:44] 你就不認這個報價單
[08:46] 你懂我意思嗎
[08:48] 你也不認正式的報價單給予有效期限
[08:50] 就是報價單上面
[08:52] 直接就先押日期
[08:54] 有效期
[08:56] 我們其他的報價單有效期都到當月月底
[08:58] 就是說
[09:00] 就是到
[09:02] 固定月租的就是月底
[09:04] 像這樣特殊專案
[09:06] 就是一個禮拜
[09:08] 我再來向這種責讓
[09:10] 我可以直接跟小朋友說小
[09:12] 目前還沒辦法
[09:14] 這個現在也是我跟AI
[09:16] 要做新的
[09:18] 因為像現在這個進階行銷系統
[09:20] 也沒有的報價單
[09:22] 也還沒有做成那個
[09:24] 就是用獎的就可以
[09:26] 以後我們的service的服務會越來越多
[09:28] 進階行銷系統
[09:30] 或者是後面有做一些新的東西
[09:32] 我們是不是會
[09:34] 就是報價單的部分就是讓他可以
[09:36] 現場繳繳繳錢票
[09:38] 會款之後請給我後五碼
[09:40] 那我們就可以去合作
[09:42] 這樣的情況下
[09:44] 我們減少那個
[09:46] 請款的這個人力
[09:48] 像這樣卡來卡去因為我們之前的報價單
[09:50] 我單純就是口頭跟他報
[09:52] 而已
[09:54] 後來他也懶得跟我講
[09:56] 我說那價格離開
[09:58] 他就閉嘴
[10:00] 因為他沒有辦法接受no
[10:02] 的風險
[10:04] 沒關係啦
[10:06] 這個東西我絕對會成交
[10:08] 然後就是
[10:10] 成交之後我們必須在
[10:12] 我會說
[10:14] 成交之後他應該是會先會
[10:16] 照理說有sense的人會先匯款
[10:18] 再把eSale對過來
[10:20] 等於是先匯款代表我要
[10:22] 那你就不點開了
[10:24] 開了之後我們就趕快幫他
[10:26] 把eSale裡面的這個東西
[10:28] 對對對我們要對過來時間
[10:30] 幫他把東西弄好
[10:32] 價格可以減服務不能少
[10:34] 就是我們服務還是要做好
[10:36] 他明年才會開始續
[10:38] 當然也是要有效果
[10:40] 對
[10:42] 那老闆回到剛剛就是
[10:44] 他的表保險
[10:46] 他的保險現在是前面一個商品
[10:48] 後面一個角
[10:50] 這樣點數了會不會算了
[10:52] 如果他這兩個都有點數的話會算
[10:56] 他前面這個
[10:58] 是多少後面的許
[11:00] 中間是多少
[11:02] 然後
[11:06] 因為最主要是
[11:08] 商品
[11:10] 商品自己本身就有蓋的東西
[11:12] 你能不能做一個語音功能
[11:14] 就是幫我開這張單的
[11:16] 查成本
[11:18] 或者是什麼用講的
[11:20] 他怎麼點名都不見
[11:22] 不是你要講就要報他的
[11:24] 銷售單的號碼
[11:26] 不然你就說你要找
[11:28] 你第二個對話框我用語音
[11:30] 跟電腦有語音講了之後
[11:32] 貼上去我就直接到那一頁
[11:34] 這邊這邊的
[11:36] 我的意思是說
[11:38] 我們以後就是
[11:40] 我們先不開放給客人
[11:42] 但是我們自己要很快速的
[11:44] 能去抓到這個問題
[11:46] 而且其實我那時候有提到說
[11:48] 可以有腳本
[11:50] 所謂的腳本就是說我今天要測試
[11:52] 我會先點這個這個
[11:54] 輸入這個這個這個
[11:56] 然後按儲存之後會有什麼結果
[11:58] 我現在每次都是人點
[12:00] 有點像軟體聚集
[12:02] 聚集
[12:04] 那個概念啊
[12:06] 我在測試的時候我是
[12:08] 我可以寫好一些腳本我用講他自己產生一個腳本
[12:10] 然後去掛
[12:12] 這樣的情況下我們是不是
[12:14] 我們的效率會快很多
[12:16] 就是例如說我現在已經寫好
[12:18] 幾種不同使用模式的
[12:20] 腳本然後我跟AI講說
[12:22] 我現在要測試這個這個這個
[12:24] 我們的程式你可以讓他
[12:26] 資源本身就是KPOP
[12:28] 這扣也是我們在寫
[12:30] 他可以去把你的
[12:32] 所謂的Stack Trace
[12:34] 就是他按了什麼東西
[12:36] 可以記錄下log
[12:38] 那你也可以去執行腳本看一下log
[12:40] 這個是記錄
[12:42] 按了什麼東西這個是原本已經有了
[12:44] 沒有沒有但是他的
[12:46] 要做是
[12:48] 可以支援的
[12:50] 小工程
[12:52] 因為你當你
[12:54] 丟一個exception出來的時候他其實
[12:56] 會記錄你的那個
[12:58] 路徑
[13:00] 沒關係啦這個後面
[13:02] 我們是需要增加我們
[13:04] 在查問題的
[13:06] 時效性然後再來就是腳本這種東西
[13:08] 你也可以讓AI自己查
[13:10] 現在我基本上遇到問題
[13:12] 有時候說先幫我把紙條庫
[13:14] 切到門那邊的然後划
[13:16] 這一張半距離的東西掉出來
[13:18] 然後再去寫他問題
[13:20] 切到紙條庫然後就是
[13:22] 一些我們有必要又常
[13:24] 用的以後
[13:26] 查件就交給那個
[13:28] 那個我們權威
[13:30] 阿權來小威去處理
[13:32] 目前來講我有做一個測
[13:34] 就是做一個測類似
[13:36] 斜行功能
[13:38] 在機制庫存債上面
[13:40] 因為機制庫存債上面有時候會出現
[13:42] 一個什麼streetdb
[13:44] 的AVM
[13:46] 但是我們那時候也不知道他是到底出現哪來
[13:48] 其實
[13:50] 我講的是他可能會有一個
[13:52] 就是textbox
[13:54] 你是點了之後
[13:56] 他就呼叫語音然後用講的
[13:58] 然後把那個文字貼一貼
[14:00] 他就會自己去執行這些動作
[14:02] 就是在工程市面開放就好
[14:06] 我們要很快速的去查到人家問題
[14:08] 但是我也沒有我這個沒有要開放給你
[14:10] 好功能是個快速功能沒有要開放給人家
[14:12] 我沒有開放給人家
[14:14] 因為如果要做的這種功能的話
[14:16] 他會消耗到AI的
[14:18] token等於說他像是
[14:20] AI幫你查然後說用到
[14:22] 哪些畫面
[14:24] 我們應該去評估的是
[14:28] 怎麼樣可以消耗最少的token
[14:30] 然後達到最高效的
[14:32] 那你就只能先在前面先寫一些
[14:34] 請自打就是說
[14:36] 表達比較容易練到
[14:38] 讓他先去查一下token會消耗
[14:40] 沒關係反正這個
[14:42] 這個AI去做
[14:44] 我的意思是說盡可能的
[14:46] 降低我們能力的
[14:48] 要在做雜事的時間
[14:50] 而且你做腳本這種事情
[14:52] 我們的post進去的時候
[14:54] 他可以執行某些腳本
[14:56] 我們在測試也可以降低能力
[14:58] 未來開放給
[15:00] AI去使用這樣的情況下
[15:02] 他就有的人就開始買
[15:04] 我們的AI助理
[15:06] Post AI助理
[15:08] 你可以問我這個問題
[15:10] 關於Post這專案多少錢
[15:12] 這專案毛利多少
[15:14] 這個毛利多少
[15:16] 先把身份查給我然後都會在畫面上
[15:18] 可是開放給各位會有個問題
[15:20] 他們可能沒辦法表現出他們的用意
[15:24] 我一開始沒有要開放給各位
[15:26] 我們要先測試整體OK之後
[15:28] 我會開放給所謂的AI助理
[15:32] 所謂AI助理就是
[15:34] AI助理你可以透過那個
[15:36] 你有購買AI功能的額外
[15:38] 這種政府
[15:40] 但是那是很後面的事
[15:42] 我覺得未來
[15:44] 都是用講的時代
[15:46] 你用講的去
[15:48] 我沒有得到我要的消息
[15:50] 現在這邊的Codebase
[15:52] 就做得出來
[15:54] 只不過他這個要用
[15:56] CLI的方式去傳
[15:58] 譬如說他丟進來
[16:00] 額外都用個伺服器
[16:02] Codebase的CLI
[16:04] 來接收到這個訊息
[16:06] 他有這個Source Code的原碼
[16:08] 你要去定義所謂的CLI
[16:10] 可能是Open哪個單據
[16:12] 然後去Find什麼單號
[16:14] 甚至
[16:16] 因為他有這個原碼
[16:18] 他可以直接去查原碼
[16:20] 下一個都可以去存出來
[16:22] 在給他的Prompt裡面就要寫清楚
[16:24] 你做這件任務裡面也要去查什麼東西
[16:26] 最主要
[16:28] 最主要還是Token數的高跟低
[16:30] 如果我們都不給他任何指示
[16:32] 那Token數當然會很高
[16:34] 沒有啦
[16:36] 你一定跟他講一些
[16:38] 常見的
[16:40] 你要讓他Token數低
[16:42] 應該這樣講喔
[16:44] 但是跟AI程式是負責
[16:46] 什麼樣輸入會有什麼輸出
[16:48] AI是在智能判斷跟
[16:50] 語意分析是強項
[16:52] 英文的強項
[16:54] 也要用他的強項
[16:56] 他就是不用Token數
[16:58] 他的成本是固定我開發完之後
[17:00] 應該還有另外一種規避方式
[17:02] 就是我們跑一次就好
[17:04] 幫我把目前
[17:06] 這些單
[17:08] 這些畫面的單的Logic
[17:10] 全部寫成一個ND檔位置
[17:12] 然後他如果
[17:14] 客戶有問什麼樣的問題的話
[17:16] 根據這個ND檔的
[17:18] 就是對這畫面的
[17:20] Logic拆解
[17:22] 幫他寫SOP
[17:24] 你看Codex在呼叫
[17:26] 他是在呼叫那個
[17:28] 你有裝X鍵嗎
[17:30] 你有裝BS的X鍵嗎
[17:32] 沒有
[17:34] 你指定你專案的位置
[17:36] 他就透過
[17:38] Compliler
[17:40] 下一個CLI下一個指令
[17:42] 給他就負責Complier
[17:44] 我把檔案改好下一個指令就Complier
[17:46] Complier他是沒辦法直接執行
[17:48] Python可以直接執行
[17:50] 但是他的VB是不能直接執行
[17:52] 對
[17:54] 我應該講說SP檔內的他有辦法Complier
[17:56] 也可以知道有沒有錯
[17:58] 但是他沒辦法直接執行
[18:00] 你可以寫一支Python去保他
[18:02] 你寫
[18:04] 執行這個Python他就去說這個
[18:06] 就跟現在的Codex
[18:08] 他其實沒辦法直接去查我資料庫
[18:10] 但是我寫一個Python
[18:12] 用Python去查資料庫
[18:14] 算是可以用Python做一個
[18:16] 橋樑
[18:18] 所以就變成如果是像你剛剛講的
[18:20] 要去降低Token數的話
[18:22] 可能就是用事先寫好很多的
[18:24] 聚集很多的工具包
[18:26] 只要知道說我要幹嘛
[18:28] 他就去RUN這個指令
[18:30] 而不是全部都要重新開始
[18:32] 我們應該這樣講
[18:34] 我用最笨的模型
[18:36] 因為MD的那一種
[18:38] 他都有辦法判斷的時候
[18:40] 他的Token數字很低
[18:42] 因為你有很多模型
[18:44] 越高階的模型他號Token越高
[18:46] 只要判斷那種小小的
[18:48] 你用最爛的那一種
[18:50] 聚集3.5或許都行
[18:52] 他的目標也不會太高那一種
[18:54] 就是寫MD會是一個比較聰明的模型
[18:56] 執行的那一個用最笨
[18:58] 好啦好啦
[19:00] 題外話題外話
[19:02] 最主要是要討論說
[19:04] 好那如果他們今天這種單子
[19:12] 他們這種單子
[19:14] 到底是要去吃什麼
[19:16] 好我現在問一個重點問題
[19:18] 他的成本是多少
[19:20] 他之所以會這樣打
[19:22] 他的目的應該是他拿用監去貼
[19:24] 這邊的用監是0
[19:26] 用監是0他就單純上一個案子
[19:28] 那他
[19:30] 所以我就會去問說
[19:32] 這個部分能不能改成你只要前面就好不用後面
[19:34] 那除非是
[19:36] 他是需要回賤你懂我意思嗎
[19:38] 不然我幹嘛打專案
[19:40] 專案用監是0啊
[19:42] 所以我會問他說這個專案用監是0
[19:44] 不打受債也沒有差
[19:46] 那打這個的意義是什麼
[19:48] 我們其實靠前面就能判斷他是
[19:50] 他是
[19:52] 我們只要加一個類別
[19:54] 我們這是可以溝通的
[19:56] 你可以在那個頂壁的群上
[19:58] 我們只要加一個類別
[20:00] 我們可以負責幫你保險兩個字的挪進去
[20:02] 這個類別
[20:04] 然後你只要賣這個類別
[20:06] 我就視為是保險就給你點
[20:10] 然後再來就是
[20:12] 你那800點500點
[20:14] 之前他有把他的點數規則他其實
[20:16] 有丟過來
[20:18] 就那幾種而已
[20:20] 不是我知道
[20:22] 重點是說
[20:24] 他現在改是改在我們PostB站正式用嗎
[20:26] 要改是改在他們
[20:28] 正式服上面
[20:30] 他已經要匯錢你還不知道他在正式服上面跑
[20:34] 好啦我幫他
[20:36] 我剛把帳單給他
[20:38] 他那個匯錢很快的
[20:40] 所以說
[20:42] 我們通知他快他匯錢
[20:44] 很快他匯錢之後你沒有理由
[20:46] 說我還在測
[20:48] 你就是要趕快好你懂我意思
[20:50] 我是跟他說
[20:52] 這一拜就可以銷售
[20:54] 這一拜就能銷售
[20:56] 但是我
[20:58] 把日期改成
[21:00] 6月1號
[21:02] 我送你一個月
[21:04] 中間測試期都不跟你算
[21:06] 開利日期嗎還是
[21:08] 日期都從6月開始
[21:10] 重點是後面
[21:12] 有段時間我不在
[21:14] 對你好像會出去
[21:16] 你是5月9號
[21:18] 我會不在一周
[21:20] 所以我比較擔心
[21:22] 是我不在這一周
[21:24] 那變得不能cover好我這邊
[21:26] 沒關係反正我6月1號才開始跟你算錢
[21:30] 所以我寧可讓
[21:32] 他跟我說讓15天我讓你一個月
[21:34] 我直接讓你一個月
[21:36] 然後中間
[21:38] 這一個月是試用期
[21:40] 就是我們有一些在跑
[21:42] 對啊然後
[21:44] 反正也還沒開始計費
[21:46] 那這個意思就是說
[21:48] 你不會跟我
[21:50] 什麼東西
[21:52] 我免費幫你服務
[21:54] 在這段期間內
[21:56] 所以我比較喜歡這樣子
[21:58] 我把時間拉寬
[22:00] 我剛好那一周
[22:02] 還有就是說
[22:04] 那老闆
[22:06] 因為我們這裡是
[22:12] 如果我們這邊是一起改
[22:14] 就是他的點數是所有
[22:16] 此商品類型的點數
[22:18] 都是同一
[22:20] 我們繼續改他的商品
[22:22] 商品編號或是專案那邊的
[22:24] 那個點數
[22:26] 那這部分是不是要先來掉
[22:30] 等於說他們可能
[22:32] 就是保險類的商品他們的
[22:34] 點數可能不太引致
[22:36] 保險這一件事我會跟他說
[22:38] 我們會建一個
[22:40] 我那天有跟他講建一個新的
[22:42] 保險類然後會幫你把所有
[22:44] 保險兩個字拉進去
[22:46] 那以後你只要賣這個類別我就算定
[22:48] 你說商品類別
[22:50] 所以我會第一個點
[22:52] 是問他說在專案這件事情
[22:54] 上面他已經沒有任何
[22:56] 沒有任何功能
[22:58] 因為他沒有用盡
[23:00] 如果他是有用盡代表他是拿用盡來貼
[23:02] 這一張單的毛利但他目前不是
[23:04] 那那個商品
[23:06] 不知道多少錢
[23:08] 多少毛
[23:10] 多少成本
[23:12] 我會去看
[23:14] 他的使用情況
[23:16] 有時候是改變他的
[23:18] 他的使用而不是改變
[23:20] 我們的程式
[23:22] 那
[23:24] 這樣還有得到不堪的點
[23:26] 就是因為我們目前來講
[23:28] 是所有專案都是為
[23:30] 新辦的
[23:34] 你可以問他
[23:36] 什麼樣的案子
[23:38] 因為我們目前來講
[23:40] 專案上面是沒有專利
[23:42] 沒有啦
[23:44] 也有新辦
[23:46] 新辦續約
[23:48] 他是是否恩批
[23:50] 他沒有一個叫做
[23:52] 新辦專案類別或是說
[23:54] 保險類別
[23:56] 以新身裝
[23:58] 其實我那時候就提到
[24:00] 可以加一個會員點去
[24:02] 會員點去
[24:04] 專案下面本來就有會員點去
[24:06] 就是我有新加一個會員點
[24:08] 已經有這個欄位
[24:10] 台語是說
[24:12] 是在這個畫面
[24:16] 就是在給出設定的
[24:18] 那個畫面上
[24:20] 需要輪
[24:24] 因為我們這邊是算
[24:26] 我們這邊是新辦門號
[24:28] 你這是policy嗎
[24:30] 新辦門號我就是80.0
[24:32] 假設80.0
[24:34] 那這個存檔當下我就會把
[24:36] 所有的專案
[24:38] 都一起改
[24:40] 所以才說
[24:42] 這個專案是不是有類似一個專案類型
[24:44] 的功能
[24:48] 現在其實有新辦跟續約的欄位
[24:50] 分批有一個叫
[24:52] 是否恩批的欄位
[24:54] 所以他們家的邏輯
[24:56] 你就問清楚你是針對
[24:58] 哪一種
[25:00] 所以我說這個邏輯
[25:02] 是因人而異不是每家都一樣
[25:04] 沒有
[25:06] 因為我在想說
[25:08] 專案這邊要不要
[25:10] 新辦續約NP三種
[25:12] 我們是不是有三個選項
[25:14] 新辦續約是一個combo
[25:16] 恩批是打勾
[25:18] 因為我的想法比較簡單
[25:20] 我們就是做一個專案的類比
[25:22] 然後他可以在上面
[25:24] 自己打
[25:26] 那現在已經有
[25:28] 新辦續約NP了
[25:30] 失敗續約
[25:32] 那其實還有其他一種
[25:34] 那邊的規則就要再多一個就是
[25:36] 續約多少點
[25:38] 然後那個
[25:40] 那是變成我們要行程不是他們去行程
[25:42] 第一個是
[25:44] 如果你辦門號的部分
[25:46] 你可以問他說
[25:48] 我是新辦門號才算還是續約
[25:50] 也算還是新辦續約NP都算
[25:54] 那其實我們應該
[25:56] 我們其實當初我是
[25:58] 做錯了啦
[26:00] 我們現在新辦續約
[26:02] 因為一開始只有新辦跟續約沒有NP這種東西
[26:04] 20年前沒有NP
[26:06] 所以恩批是後面再加一個
[26:08] 因為我所有東西都要改我很麻煩
[26:10] 所以我另外加了一個欄位
[26:12] 但是這種方式其實後面又加一個
[26:14] 叫做服務
[26:16] 異動服務
[26:20] 就是從NP
[26:22] 新辦續約
[26:24] NP異動服務所謂異動
[26:26] 服務可能是補卡
[26:30] 也可能是到一個加值服務
[26:32] OK好那沒關係就是說
[26:34] 如果可以統一
[26:36] 弄成一個部分
[26:38] 那新舊要能相容
[26:42] 如果不行的話我就再加一個欄位
[26:44] 把另外兩個取消另外兩個直接連結過來
[26:48] 這也是一個方案
[26:50] 要改的東西很多
[26:52] 就是順便這麼整理
[26:54] 不是因為我現在想說
[26:56] 這個就單純focus在點數上的方案
[26:58] 那你如果單純focus在點數的話
[27:00] 那這個部分你就先問清楚
[27:02] 他們家的規則
[27:04] 你是針對新辦續約
[27:06] 你要先問清楚他的規則
[27:08] 都算
[27:10] 只要含狀態那你舉幾個例
[27:12] 你拿幾個保險也算
[27:14] 保險基本上前面算後面就不要算
[27:18] 所以說我們會問他說
[27:20] 你是不是可以改成只有賣商品
[27:22] 後面專案不要
[27:24] 這樣的情況下不會重複算到
[27:26] 這樣我們就少了一件事
[27:28] 你只問了一個問題就少了一件事
[27:30] 然後再來就是
[27:32] 所有的專案都
[27:34] 只要你賣專案都算
[27:36] 還是你有什麼規則
[27:38] 然後你就舉幾個可能有
[27:40] 為利的規則給他
[27:42] 哪些要算哪些不要算
[27:44] 你問清楚之後再把規則寫進去
[27:46] 這個部分是需要改
[27:48] 而且你最好是先
[27:50] 等於說他不能就是統一
[27:52] 專案的部分統一全部在一起改
[27:54] 他要進行一個區別
[27:56] 對所以我才說
[27:58] 在計算點數
[28:00] 邏輯的部分
[28:02] 會有一些所謂
[28:04] 大家沒有沒有
[28:06] 事宜的問題一定熟悉
[28:08] 比如說門號
[28:10] 我那時候其實蠻想一刀解決心
[28:12] 專案上面兩位
[28:14] 上面再多寫一個類似
[28:16] 可記點跟不可記點
[28:22] 這也是最簡單的區塊
[28:24] 如果他勾可記點
[28:26] 那就是這個算進去
[28:28] 那你可以框一個goobox
[28:30] 會員點數計算
[28:32] 可記點不可記點
[28:34] 點數多少點
[28:36] 你可以
[28:38] 最簡單的就是一刀切
[28:40] 一刀切你就多一個goobox
[28:42] 然後沒有買的人
[28:44] 可以推
[28:46] 這是最簡單的
[28:48] 反正我是希望
[28:50] 之後有個廣告
[28:52] 因為我是希望一家一家推大概推不完
[28:54] 你說所以你是
[28:56] 有東西是想顯示在上面
[28:58] 有些東西我是故意顯示在
[29:00] 上面但是是回擊
[29:02] 你移過去的時候只會額外
[29:04] 付費您上位
[29:06] 購買進階系統
[29:08] 目前post前段我是這樣做
[29:10] 就是是否為進階
[29:12] 是的話寫是
[29:14] 不是的話就不寫是了
[29:16] 沒關係我現在也會採用
[29:18] 不寫是的方式但是當我準備
[29:20] 大量鋪
[29:22] 大量鋪是你已經有好幾個
[29:24] 成功的案例是我要大量鋪
[29:26] 的時候我就會大量顯示
[29:28] 然後你們才會購買
[29:30] 這邊有影片可以看
[29:34] 那就是比較中後期
[29:36] 的事情
[29:38] 你要先你不要
[29:40] 你不要開始把招牌砸爛
[29:42] 要穩穩的
[29:44] 做第一家要非常非常的小心
[29:46] 什麼東西都要服務到好不是
[29:48] 因為錢是因為你不要把你的招牌
[29:50] 砸爛我的第二個
[29:52] 客戶
[29:54] 我的第一個客戶他一開始就六間店
[29:56] 我的第二個客戶是協訊同行
[29:58] 是2003.12.6號座
[30:00] 我怎麼記得這麼清楚
[30:02] 因為他從六間開到
[30:04] 一百零幾間
[30:06] 那這種廣告效益有多大
[30:08] 你知道嗎
[30:10] 應該全省沒人不認識他
[30:12] 能從六間開到一百零幾間
[30:14] 然後他對外會講說
[30:16] 因為我們有Post-Chiton管理
[30:18] 所以我們要開到一百間
[30:20] 是可行的
[30:22] 那別人聽了什麼怎麼想
[30:24] 在那個很好賺的年代
[30:26] 誰跟你開六間了我要開一百間
[30:28] 你找誰小謝是不是你來
[30:30] 我聯絡一下
[30:32] 所以我覺得是
[30:34] 你要一開始你就會把自己招牌砸
[30:36] 什麼東西盡量的把它服務好
[30:38] 這個是為了我們未來的出路
[30:40] 那
[30:42] 自己專案的部分
[30:44] 專案結束我再改一下
[30:46] 就是一刀切
[30:48] 因為這種方式來講是最簡單的
[30:50] 你現在先一刀切
[30:52] 沒有的先Visible Force
[30:54] 但是你要確定Visible Force不影響原本正常
[30:56] 不用講
[30:58] Visible Force
[31:00] 就是為了跟以前的系統做一個切割
[31:02] 對你一開始是這樣
[31:04] 後面彩位是經濟行銷
[31:06] 那也是經濟行銷
[31:08] 你會到處看得到
[31:10] 你那時候就是在推廣
[31:12] 因為這個東西穩定了
[31:14] 現在他們資料庫就已經有
[31:16] 有相關的難為都可以
[31:18] 好他們如果下一秒
[31:20] 下一秒匯錢來你要怎麼辦
[31:22] 匯錢來就是我會先跟他拿那個
[31:24] 匯來的嗎
[31:26] 來囉
[31:28] 是啦是不是
[31:30] 欸
[31:32] 是
[31:36] 好沒問題啊
