# 逐字稿 2026-04-27
# 來源音檔：錄製 (3).m4a

[00:00] 那個歐卡點開來之後,它有一堆的折價券,你點了之後它可以按一個消炸的部分,把它消掉
[04:21] 然後中古機跟
[04:25] 中古機就是
[04:27] 如果中古機的偵測方式
[04:29] 它三比平要是二手機的話
[04:31] 就幾點
[04:33] 然後再來就是手機配件
[04:35] 配件也有
[04:37] 然後再來就是U卡分級的話
[04:39] 其實U卡分級是抓銀行的
[04:41] 銀行加分級別數
[04:43] 所以就算了
[04:47] 就是這樣
[04:49] 這邊要取消
[04:53] 可以刷新嗎
[04:57] 要先切到外面
[04:59] 然後再做刷新
[05:03] 大概3C
[05:07] 這樣可以
[05:09] 然後這邊就會顯示
[05:11] 你現在要做什麼
[05:13] 這個是你剛才講
[05:15] 最後那個門是
[05:17] B3的最後一個門是
[05:19] 沒有全部的門都有
[05:23] 它是不管你是什麼帳號
[05:25] 就是你那個是防什麼帳號
[05:27] 然後進到哪個帳號
[05:31] 你想說它這個點數是不看我為了
[05:35] 就是只要拿它連進去這個
[05:37] 資料庫裡面
[05:39] 只要這個網站連進去
[05:41] 它的點數全都是共用
[05:43] 我現在有點喔
[05:45] 不想換
[05:47] 對就是現在我也會再
[05:49] 這個已經講兩個禮拜了
[05:53] 老闆你再切一次
[05:55] 我可能要再多一個中間有個畫面說
[05:57] 驗證中
[05:59] 其實你不要再秀那些人
[06:01] 你就是驗證中就好
[06:03] 你要秀說你是誰
[06:05] 就沒必要啦
[06:09] 再來就是把這個畫面死絕就好
[06:11] 目前是做到一半
[06:13] 應該在進去之前
[06:15] 禮拜三demo之前我應該有辦法先把它刷好
[06:21] 因為現在就是還在做那個資料庫的結果
[06:23] 因為比較麻煩的是我要跟它討論說
[06:25] 目前好幾種
[06:27] 因為我在想說那個點數兌換的那個
[06:31] 就是它兌換的那個票就是比較機密
[06:33] 對兌換機密
[06:39] 要啊兌換機密你這邊不是有嗎
[06:41] 也會有
[06:43] 扣點機密分
[06:45] 然後再來就是目前來講點數的
[06:47] 扣除有三種
[06:49] 銷售退回單據刪除
[06:51] 刪除
[06:53] 是銷售單據刪除
[06:55] 它不是走銷售退回
[06:57] 它就直接把這單刪掉
[06:59] 那那個刪掉的話
[07:01] 對於點數那邊會走另外一條
[07:03] 叫做點數回數
[07:07] 它就不是走銷售退回的扣點
[07:09] 銷售退回也會扣點
[07:11] 然後你刪單也會
[07:13] 修改呢
[07:15] 修改也會
[07:17] 修改也會弄成正確的這樣
[07:19] 那你這邊應該完工了
[07:21] 就等禮拜三回去而已
[07:23] 對就是大部分
[07:25] 還有一個東西就是
[07:27] 我現在還在同兵聚集
[07:29] 等一下講我這個事情
[07:33] 就是他
[07:35] 覺得他有疑問才會出來
[07:37] 這樣子
[07:41] 你現在
[07:43] 你現在的問題
[07:45] 你現在的問題
[07:47] 就是他直接
[07:49] 在上面出來一點
[07:51] 是一個方案
[07:53] 對啊
[07:55] 你難道之前想的不是這樣子嗎
[07:57] 差一點點
[07:59] 你你想的是怎麼樣子
[08:09] 他好像是
[08:13] 好像是偽問
[08:15] 好像是我問他問題的時候
[08:17] 他會說
[08:21] 那個
[08:23] 那個是LINE
[08:27] 所以這呢還有就是
[08:29] 就是
[08:31] 我有做
[08:33] 點數對號我有做一個Port
[08:35] 就是它不只可以對外是
[08:37] 又會變形的上面
[08:39] 它
[08:41] 如果之後有需要他們也可以去換手機可以解
[08:43] 就是用點數去換那個手機
[08:45] OK啦OK啦
[08:47] 但這個我先做但目前來講還沒有開放給他們用
[08:49] 就是先保留這個Port
[08:51] 還有就是這個
[08:53] 不要像這樣子
[08:55] 它的圖比較大
[08:57] 但是可以用
[08:59] 是可以用
[09:01] 我看的之前人家你好像有疑問的時候
[09:03] 他會
[09:05] 不要做再漂亮一點的
[09:07] 對他會是
[09:09] 這個這樣
[09:11] Flex Message
[09:13] 對那個叫Flex Message
[09:15] 我現在沒有用
[09:17] 他要換的話沒關係啦沒關係啦
[09:19] 我們自己在用的
[09:21] 可以用就好
[09:23] 只是我是說他不確定
[09:25] 的時候他應該是要反問一個問題
[09:27] 請問你指的是下面這三個客戶哪一個
[09:29] 而不是這樣子讓他選變
[09:31] 請問你說的系統
[09:33] OK對對
[09:35] 我今天早上好像又出
[09:37] 一個錯誤我好像還沒解
[09:39] 我好像還沒解給你
[09:43] 然後我這邊有跟他討論說
[09:45] 像你之前有出
[09:47] 出過狀況就是說是
[09:49] 那個就寫01
[09:51] 義風有幾點那我自行錄
[09:55] 然後Name義風
[09:57] 這是幾點的時候用的
[09:59] 他那個時候可能在
[10:01] 義風有幾點因為他的那個名字不一樣
[10:03] 對
[10:05] 然後變成說他的Name抽取指令
[10:07] 怎麼會變
[10:09] 變這個樣子
[10:11] 他那個時候可能程式他
[10:13] AI他正在改程式
[10:15] 會出來這樣換外面
[10:17] 這個我們也沒有是客戶
[10:19] 這不知道哪裡來
[10:21] 然後第二次我再問
[10:23] 我把那個字都弄對的時候
[10:25] 就會正確
[10:27] OK好
[10:29] 然後他這裡面
[10:31] 一個一個來現在是你講完了嗎
[10:33] 還有還有
[10:35] 點數的部分就是
[10:37] 平台發點
[10:39] 他們自己全能操作
[10:41] 他這邊的發點的部分
[10:43] 因為我在想說他的
[10:45] 點數運動要不要做在一起
[10:47] 就是運動記錄
[10:49] 點數運動記錄
[10:51] 你看你要不要從那個會員那邊
[10:53] 去查就好我已經確定哪個
[10:55] 會員去查還是你
[10:57] 一種是這一段期間的所有
[10:59] 所有
[11:01] 運動但是這個比較少人在看
[11:03] 大部分都是單一會員
[11:05] 給你一個會員
[11:07] 然後我要查他所有狀況
[11:09] 但是我們這邊會有就是他們那邊
[11:11] 客戶放不是會
[11:13] 可能會針對某一個客戶進行單獨
[11:15] 發點
[11:17] 我的意思是說那這種單獨查詢的
[11:19] 點數運動要不要放在一起
[11:21] 單獨查詢什麼意思
[11:23] 你看我這裡
[11:25] 來
[11:27] 就是
[11:29] 他這邊其實也有
[11:31] 就是點數調整
[11:37] 就左邊這個是查詢
[11:39] 查詢會員
[11:41] 這邊就是他的會員資料
[11:43] 然後以及他現在的點數
[11:45] 現在的點數來然後調整
[11:47] 的點數跟
[11:49] 他點數什麼時候的運動
[11:53] 這個那個會員資料輸入
[11:55] 基本上是token function
[11:57] 這兩塊是一樣的
[11:59] 你要在會員輸入那邊
[12:01] 再多放你的點數運動
[12:03] 你可以多一個第三個
[12:05] 你第一個欄位跟第二個欄位
[12:07] 跟那個會員資料輸入
[12:09] 不是一樣的東西嗎
[12:11] 不是因為他還有一個
[12:13] 等級
[12:15] 他會調整欄位
[12:17] 比較便宜
[12:21] 那會有一個迷區
[12:23] 那會有一個迷區就是說
[12:25] 你在發點的
[12:27] 這個是一個平台
[12:29] 然後會員的資料輸入是另外一個平台
[12:31] 他會有這個誤區
[12:33] 所謂的誤區是說
[12:35] 你當你一個
[12:37] 初學的使用者
[12:39] 你怎麼判斷你要給哪個
[12:41] 你像我們現在
[12:43] 初學者OK你要
[12:45] 賣東西那都是前台的功能
[12:47] 你要進貨都是後台的功能
[12:49] 你要會員就在會員下
[12:51] 那你現在是把會員的新三修
[12:53] 跟他的點數的新三修
[12:55] 而且你這邊的查詢跟
[12:57] 那個畫面又長得一樣
[12:59] 差不多啦
[13:01] 我說功能一樣不是說畫面一模一樣
[13:03] 當然你只有幾個
[13:05] 重點的欄位
[13:07] 但是
[13:09] 因為這部分他是掛在主畫面的
[13:11] 而且你在
[13:13] 發點的情況下有兩種
[13:15] 一種是針對好像說不是有生日發點
[13:17] 那另外一種是針對一堆
[13:19] 一部分的客群
[13:21] 所以你現在這個是
[13:23] 單選
[13:25] 跟會員
[13:27] 資料輸入一樣是單選
[13:31] 那你為什麼不做多選
[13:33] 因為他要發可能是發一群
[13:37] 也不是不行
[13:39] 只是他會員資料
[13:41] 輸入難道不能做多選
[13:43] 好像也沒有
[13:45] 你把標籤弄
[13:47] 出來之後
[13:49] 好像也沒這個問題
[13:51] 我可以挑一個標籤勾這幾隻
[13:53] 勾這幾個人
[13:55] 這等於說中間這個不要
[13:57] 你中間跟左邊
[14:01] 其實是跟那個是一模一樣
[14:03] 功能是一模一樣
[14:05] 那你就多了右邊這一塊
[14:07] 那他的功能
[14:09] 我講功能的
[14:11] 你要去判斷
[14:13] 我是要大量發點的情況下
[14:15] 我要發給一群人的時候
[14:17] 那你這功能跟那個都一樣
[14:19] 只有一個地方是
[14:21] 可以講得通的是
[14:23] 他在所謂的進階行銷裡面
[14:27] 這個表不是放在會員系統
[14:29] 放在進階行銷下面
[14:31] 這個部分
[14:33] 可能要問一下
[14:35] 因為你看這邊會員等級
[14:37] 我覺得在設計上
[14:39] 就是重複的功能
[14:41] 你說錯也沒有錯
[14:43] 那你這個比較針對單一
[14:45] 然後也是單一的
[14:47] 那我們現在有幾種需求
[14:49] 一個是可能我會群發
[14:51] 所謂的優惠券
[14:53] 你像廣品那些一定是群發
[14:55] 我怎麼可能一個一個人抓
[14:57] 我一定是群發
[14:59] 那你單一的部分
[15:01] 又跟那個會員制度長很像
[15:07] 那你要群發
[15:09] 他們比較可能的是
[15:11] 生日群發跟那個
[15:13] 會員點數群發
[15:15] 不是我針對一群人去發
[15:21] 你這個沒有錯
[15:23] 但是就是覺得很
[15:25] 功能太單一了
[15:27] 而且重複性很高
[15:29] 你做單純的畫面
[15:31] 只是展示一下說
[15:33] 我們進階行銷有個這樣
[15:35] 可是如果你要
[15:37] 混放在一起的話
[15:39] 之前舊系統跟新的進階行銷系統的
[15:41] 間隔要把它拉開來
[15:43] 沒有啦
[15:45] 我同意在進階行銷裡面
[15:47] 可以有一些功能
[15:49] 但是你做的是重複做一個功能
[15:51] 他的進階行銷
[15:53] 因為他又沒辦法
[15:55] 完全取代他
[15:57] 然後他又
[15:59] 很大一部分是一樣的
[16:01] 然後他們
[16:03] 最主要的是群發的
[16:05] 所以你這個就算不做
[16:07] 應該說調整的部分
[16:09] 你也可以從
[16:11] 會員那個地方直接進來
[16:13] 也可以
[16:15] 還有一個要問的就是說
[16:17] 會員系統就不算
[16:19] 因為我們這邊會有個
[16:21] 會員點數跟會員
[16:23] 這部分到時候放進階行銷來
[16:25] 等於說他們
[16:27] 會員行銷那邊都不開放
[16:29] 就是如果他沒有買
[16:31] 進階行銷就不開放
[16:33] 就把它隔開來你如果沒有太大差異性
[16:35] 你為什麼要入去
[16:37] 那我再來會把群組
[16:39] 跟群組設定跟群組管理
[16:41] 因為還有群組設定跟群組管理
[16:43] 到底算在進階行銷還是有差異
[16:45] 還是算在會員管理上
[16:47] 所以把它拉過去那也是新寫功能
[16:49] 沒有單一人家不給
[16:51] 然後我說我現在有做一塊新的
[16:53] 然後這一塊新的一年
[16:55] 要三萬塊
[16:57] 那我一整塊內容
[16:59] 就是這一塊
[17:01] 他一整塊是包含你會員的增強
[17:03] 加上進階行銷
[17:05] 包含行銷的部分包含
[17:07] 他點出包含的股胖券
[17:09] 他其實已經有點接近
[17:11] 像會員的DLS
[17:13] 額外的擴充包
[17:15] extension對不對
[17:17] 可以啊你要簡單
[17:19] 的會員系統我有簡單讓你
[17:21] 心三修我ok吧
[17:23] 因為後面的會員系統
[17:25] 玩起來會很複雜
[17:27] 對阿所以我把它另外弄出來就是
[17:29] 你可以說進階行銷的部分包含
[17:31] 一塊是會員
[17:33] 他可以上半部是會員的extension
[17:35] 的部分那下半部可能
[17:37] 他可能三塊
[17:39] 胖是一塊然後再來就是
[17:41] 他的點數等級
[17:43] 那些你可以把它弄出來
[17:45] 然後還有一個會員就是line的功能
[17:47] 整合又是另外一塊
[17:53] 這等於說他會有三個分析
[17:55] 你讓進階行銷
[17:57] 現在目前本來
[17:59] 只有一個項目變成兩個項目變成
[18:01] 一堆項目你這樣看起來是不是也比較
[18:03] 爽
[18:05] 他已經從一個單
[18:07] 變六個單
[18:09] 但是你所謂的一堆項目是
[18:11] 這些重複的東西就沒有必要啦
[18:13] 之前我本來想說
[18:15] 把那個
[18:17] 分群標籤
[18:19] 的部分是乾脆你有會員
[18:21] 就送送是沒有
[18:23] 意義啦我沒有教你用你沒有
[18:25] 那個也沒有意義
[18:27] 他沒有半產的功能
[18:29] 如果他沒有開那個line的功能
[18:31] 甚至在會員裡面現在進階行銷
[18:33] 系統那這塊屬於進階行銷
[18:35] 系統這個是未購買的模組
[18:39] 那我們可以給一個介紹影片
[18:41] 然後可以自己去看
[18:43] 我都覺得是ok啦
[18:45] 所以你的點數功能你想
[18:47] 把它一起再放到
[18:49] 這個會員資料書裡面
[18:51] 現在已經可以查
[18:53] 那個所謂的消費紀錄
[18:55] 點數的部分
[18:57] 看起來那個又很像
[18:59] 這部分跟我切
[19:03] 你可以這邊點一個
[19:05] 那個查詢
[19:07] 歷史點數紀錄
[19:09] 然後如果他沒買就是反揮
[19:11] 就是你可以看看
[19:13] 我們的廣告影片ok
[19:15] 那你如果有買就點了之後你可以到你那個畫面
[19:17] 然後直接就選出來
[19:19] 因為這兩個
[19:21] 就功能性很接近
[19:23] 不然就是要做完這個還要在額外
[19:25] 再做一個群發的點數評打
[19:27] 你懂我意思嗎
[19:29] 你在設計的時候
[19:31] 看就不要把一些元件共用
[19:33] 雖然現在code不是你在寫
[19:35] 但是你懂我意思嗎
[19:37] 但是在用的人他最好是
[19:39] 有一個
[19:41] 一樣的介面
[19:43] 一樣的介面
[19:45] 用膠你知道嗎
[19:47] 因為他這個
[19:49] 他的修改
[19:51] 修改跟組成我也是打算放在右邊
[19:53] 所以右邊我都先沒有就要做
[19:55] 不是啦你那個不是
[19:57] 你那個查歷史
[19:59] 可以給他一個
[20:01] 另外一個指示
[20:03] 就等於說把這個功能一下
[20:05] 把這個功能一下
[20:07] 然後這個額外做個報告
[20:09] 對你那個
[20:11] 這個額外做個報告
[20:13] 點數調整跟移動看你要不要點一個
[20:15] 點了之後就這一塊
[20:17] 喔我懂意思
[20:19] 現在都一樣啊
[20:21] 另外左邊那不是一樣嗎
[20:23] 那也就那
[20:25] 那有什麼意思
[20:27] 就是把這一塊放在這下面
[20:29] 這個東西就沒有要求一定要在
[20:31] 這個因為他的畫面
[20:33] 就已經三下了
[20:35] 而且他也是所謂的
[20:37] 進階行銷
[20:39] 那我剛好多一個畫面多一個
[20:41] 視窗沒有看廣告
[20:43] 剛好而已啊
[20:45] 那我現在就這樣
[20:47] 我再來就是
[20:49] 把點數兌換的部分還有
[20:51] 就是票券的
[20:53] 票券的核銷也一起做進去
[20:55] 那票券核銷目前
[20:57] 目前來講票券核銷算很煩動
[20:59] 目前卡的地方就是
[21:01] 他點數要怎麼轉換成票率
[21:03] 這個過程
[21:05] 加進歷史記錄
[21:07] 然後點數就扣點了
[21:09] 然後你要怎麼記錄他誰有什麼券
[21:11] 誰有什麼券
[21:13] 右邊券那邊也有只是說
[21:15] 我們這個點數的消費要怎麼跟他
[21:17] 這個點券做聯繫
[21:19] 目前沒有就是你把這一張用掉
[21:21] 你像那個歐卡就是我用掉
[21:23] 然後我在我的Post上面折
[21:25] 他是兩套不一樣的系統喔
[21:27] 歐卡是在我的手機喔
[21:29] 他就看了那個點券點了之後
[21:31] 他就有一個消除嘛
[21:33] 消完之後他在他這個Post這邊就直接扣500
[21:35] 直接點扣500
[21:37] 可是我目前來講
[21:39] 是想做一個
[21:41] 他最後一段多少點
[21:43] 買了什麼點券
[21:45] 他那個點券怎麼使用的用途
[21:47] 是非常難定義的
[21:49] 滿千才給你不用
[21:51] 那個就是優惠券
[21:53] 優惠券他這個系統的關聯的地方
[21:55] 這個點數只管他對換什麼點券
[21:57] 但優惠券怎麼合效跟他使用
[21:59] 這是優惠券系統的事情
[22:01] 沒關係啦所以你現在優惠券
[22:03] 系統現在我是目前沒看到
[22:05] 都洗進去了
[22:07] 在這裏
[22:09] 你好說
[22:11] 這畫面你念多一點
[22:13] 配到這邊
[22:15] 甚至他怎麼生成的這部分也多少
[22:17] 那目前來講
[22:19] 那我們Post要怎麼設定說
[22:21] 這邊會有個發送紀錄
[22:23] 發送規則跟優惠券
[22:25] 優惠券這邊就是講說
[22:27] 什麼會員有什麼樣的意見
[22:29] OK
[22:31] 就是目前來講
[22:33] 我目前來講就是做溝通程
[22:35] 就是點數跟優惠券他們
[22:37] 怎麼溝通就好
[22:39] 就是這部分的話我希望他們有個歷史
[22:41] 因為我們這套系統
[22:43] 跟Ocard不一樣
[22:45] 因為Ocard是
[22:47] 他們要做的是整
[22:49] 就是拼接
[22:51] 那我們這個版就是一套
[22:53] 做在裡面就是
[22:55] 讓他們自找自找溝通
[22:57] 這是我們的優勢
[22:59] 所以我不希望就是
[23:01] 點數系統跟優惠券系統是兩套不相干的系統
[23:03] 當然
[23:05] 你講的是對的
[23:07] 你本來就是要發揮自己優勢特長
[23:09] 所以才說
[23:11] 我需要就是
[23:13] 最起碼他們的點數的脈絡他們
[23:15] 我們的客戶需要查出來
[23:17] 他可以查出來
[23:19] 那現在最重要是如何群發
[23:21] 群發那個優惠券
[23:23] 跟如何
[23:25] 群發優惠券跟群發點數是兩個不同的概念
[23:27] 一個是直接發點
[23:29] 就是你可以用這個點數買
[23:31] 我知道點數是點數的
[23:33] 那點數可以轉優惠券優惠券又是另外一種
[23:35] 點數算是一個比較
[23:37] 共用的東西
[23:39] 但優惠券不是因為優惠券沒辦法再特惠成功
[23:41] 那禮拜三
[23:43] 能不能給個簡單的
[23:45] 一個
[23:47] 我們講
[23:49] 你有哪些東西
[23:51] 像我現在知道有點數
[23:53] 有優惠券然後還有所謂的
[23:55] 查詢系統你看能不能弄成
[23:57] 幾個圖啦之類的
[23:59] 關係圖
[24:01] 就是你有什麼功能
[24:03] 就是一個畫面
[24:05] 其實假真的
[24:07] 現在這個做出來
[24:09] 你需要把LINE的這個畫面
[24:11] 秀出去給他們看
[24:13] 再來就是你LINE可以發送
[24:15] 發送一些訊息
[24:17] 你有LINE送訊息的部分
[24:19] 你有優惠券的部分你有圖文鈕
[24:21] 你有什麼
[24:23] 現在重點是進階行銷有什麼
[24:25] 以前寫的有點空泛
[24:27] 以前我們寫一個進階行銷
[24:29] 的那個pop-on
[24:31] 那個內容很空泛
[24:33] 因為那時候只有一個項目還有兩個項目
[24:35] 那現在我們把
[24:37] 基本上進去demo進去這邊
[24:39] 給他看到這個畫面
[24:41] 大部分的人就知道我想做什麼
[24:43] 沒關係我的意思是說
[24:45] 可以的話就給個YouTube影片
[24:47] 還是什麼
[24:49] 那不行的話就給
[24:51] 你有什麼東西你就調列式
[24:53] 幾條
[24:55] 就沒時間嘛調列式我有什麼功能
[24:57] 也OK
[24:59] 最好是有一個介紹影片讓他
[25:01] 我也可以丟給他
[25:03] 你現在沒有丟給他們
[25:05] 你又丟兩支
[25:07] 那我現在
[25:09] 新新新
[25:11] 只是說未來我再找
[25:13] 其他家
[25:15] 又會需要一個新的檔案
[25:17] 就是APPT的東西
[25:19] 跟我們說明就是
[25:21] 進階行銷系統的那個
[25:23] pop-on的更新
[25:25] 更新到目前我現在現有的功能
[25:27] 你看對阿
[25:29] 就是把你有什麼
[25:31] 他那個多了一個
[25:33] 多了一個全部權限
[25:35] 所以我
[25:37] 現在
[25:39] 我現在那個auto answer沒用了
[25:41] 剛寫完就沒用了
[25:43] 他們的進化速度還快
[25:45] 他們已經知道我們需要的東西是什麼
[25:47] 很快
[25:49] 但是我寫auto answer其實也很快
[25:51] 其實大家都是往
[25:53] 那個算是10倍速的時代
[25:55] 再走
[25:57] 你很快我也很快
[25:59] 你有缺漏的我就寫完了
[26:01] 我寫完之後你也改完
[26:03] 對
[26:05] 就是你懂我意思
[26:07] 我希望有一個 list清單
[26:09] 有什麼東西
[26:11] 其實他們進階行銷系統最主要的
[26:13] 還是點數
[26:15] 點數跟所有東西都掛鉤
[26:17] 沒關係你再列給我就好
[26:19] 我這邊還有其他要討論的
[26:21] 你講那個我大概也都知道
[26:23] 我只是說需要一個列表
[26:25] 好
[26:27] 那我這邊
[26:29] 那我這邊的話
[26:31] 就是先跟你講說
[26:33] 他這裡
[26:35] 我還是問一下剛逸峰的部分
[26:37] 到底誰處理
[26:39] 你有登入看一下他
[26:41] 還是會有
[26:43] 那這個應該是最高優先
[26:45] 為什麼人家繳錢不能用
[26:47] 這個一定是最高優先
[26:49] 現階段他為什麼還會跳
[26:51] 那是什麼意思
[26:53] 這邊有跟AI討論
[26:55] 他這邊說主要是那個線上付款停用時間
[26:57] 之前我有調
[26:59] 調過調成是四月底
[27:01] 然後後來他又跳回去
[27:03] 我不知道是我改沒有改成功
[27:05] 還是怎麼樣
[27:07] 四月底他有點數的情況下
[27:09] 他應該會自動去延長
[27:11] 有點數的情況下
[27:13] 每個人都是到月底
[27:15] 每個人的分店裡面都是到月底
[27:17] 但是到
[27:19] 月底的最後一天
[27:21] 其實他會去看你如果還有點數
[27:23] 那他不會
[27:25] 你像今天26號
[27:27] 他是沒有點數的人
[27:29] 他才會跟你說要到期
[27:31] 所以他這邊
[27:33] 有一個叫做線上付款停用時間
[27:35] 這邊他是系統裡面
[27:37] 分店的還是
[27:39] 分店的他每個人都是到月底
[27:41] 他是會
[27:43] 就是
[27:45] 系統會自動去調整
[27:47] 線上付款停用時間
[27:49] 他是會系統會自己去調整
[27:51] 每一家都是這樣
[27:53] 每一家都是到月底的那一秒
[27:57] 但是你像首立他不會跳
[27:59] 為什麼因為我還有一大堆點
[28:01] 他付錢啊所以他不會跳五四三二一
[28:03] 那為什麼一峰會
[28:05] 不是我是說他為什麼會跳
[28:09] 他的那個這個時間點他應該是
[28:11] 自動要去改的系統裡面自動去改
[28:13] 他是每個月一號
[28:15] 的凌晨的那個瞬間
[28:17] 他去把看你有點
[28:19] 我會去加上去但是他
[28:21] 現在不應該提出警告
[28:23] 所以我才問
[28:25] 最重要一個問題你有
[28:27] 切到他的資料庫你
[28:29] 用他資料庫登進去看結果你不會
[28:31] 他會因為他是四年前的版本
[28:33] 這是重點我一直講
[28:35] 那個是重點
[28:37] 你不會啊可是剛剛
[28:39] 剛剛有啊
[28:41] 來你關掉再進去
[28:45] 所以你遇到這個是
[28:47] 我覺得這是第一優先
[28:49] 有付錢不能用這一個一定是第一優先
[28:51] 比其他什麼都重要
[28:53] 因為沒付錢不能用剛好而已
[28:55] 有付錢不能用這個
[28:57] 一幹掉聲就起來了
[29:05] 他照理說
[29:07] 不應該跳那一個
[29:11] 他應該自動看
[29:13] 他還有點他這個月不跳
[29:17] 還有點數的話他會去看點數夠不夠
[29:23] 有啊他這邊還是會有
[29:25] 為什麼
[29:33] 他還有點他有12點
[29:37] 可是他這邊他就是說
[29:39] 線上不管停用時間
[29:41] 因為這邊他被設成
[29:43] 這樣子所以他
[29:45] 會跳
[29:47] 手力也有這個時間
[29:49] 手力不會跳
[29:51] 他幾間店
[29:53] 三間
[29:55] 剩一間
[29:57] 去左旁邊
[29:59] 把那個跳出來的那個
[30:01] 層次以及掉的語法
[30:03] 都掉出來
[30:05] 如果這跑一樣的事情
[30:07] 那就花兩份AI嗎
[30:09] 他現在有
[30:11] 義風網路然後寶山南華這個
[30:13] 連強
[30:15] 只有一間在用
[30:17] 其他把他關掉
[30:19] 他是哪一間在用
[30:21] 這個你就不用問了
[30:23] 應該是南華啦
[30:25] 但是你看
[30:27] 你看一下他如果沒在用
[30:29] 你就把他關掉
[30:31] 好
[30:33] 有在用點數不夠
[30:35] 也不至於他有12點
[30:37] 就算三個都有在用
[30:39] 這個月也不應該會跳
[30:51] 他的那個機制應該是
[30:53] 有點的時候他往後延長
[30:55] 他不是到月底到期
[30:59] 好吧我看一下
[31:01] 看是我們的層次哪裡有問題
[31:03] 結果你進去也會跳
[31:05] 所以不是版本的問題
[31:07] 所以第一個他不是版本的問題
[31:09] 他就是我們哪裡沒做好
[31:11] 我們一定哪裡設定的時候
[31:13] 對他是現在改線上付款
[31:15] 那但是他有點數
[31:17] 還是你點數沒加
[31:19] 但是我問他小邦是12點沒錯
[31:21] 也有12點
[31:23] 那他的邏輯上面
[31:25] 他就12點去扣
[31:27] 去算他現在的點數
[31:29] 他就要再往後加
[31:31] 再怎麼樣也不至於這個月到期
[31:33] 就算你三天練都在用
[31:35] 也不至於到期
[31:37] 所以這個線上付款停用時間
[31:39] 會是有哪一個程式會去動到他
[31:41] 會去改他自動往後推
[31:43] 每個月1號好像
[31:47] 我寫了一個sql
